project_id,name,proponent,project_url,registry
CCB26,MultiAntioquia,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-26,cercarbono
CCB28,Manejo Sostenible de los Bosques Aplicado en el Oriente Antioqueño bajo el esquema BancO2®,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-28,cercarbono
CCB29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-29,cercarbono
CCB30,Carbono Ganados y Bosques,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-30,cercarbono
CCB32,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-32,cercarbono
CCB33,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-33,cercarbono
CCB37,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-37,cercarbono
CCB42,Carbono Inmunizar,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-42,cercarbono
CCB43,Carbono Nueva Esperanza,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-43,cercarbono
CCB44,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-44,cercarbono
CCB45,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-45,cercarbono
CCB46,SKCARBONO,Reforestadora Andina S.A.,https://www.ecoregistry.io/projects/CDC-46,cercarbono
CCB49,Carbono Reforestadora El Guásimo,Reforestadora el Gúasimo SAS,https://www.ecoregistry.io/projects/CDC-49,cercarbono
CCB52,Makaro Ap+ro,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-52,cercarbono
CCB53,BAKA ROKARIRE ~IA TIR+~DITO,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-53,cercarbono
CCB54,AZIRPA,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-54,cercarbono
CCB55,Awakadaa Matsiadali,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-55,cercarbono
CCB56,Jocū Bucūrō Apūrō,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-56,cercarbono
CCB59,CARBONO RINCCO,Rincco S.A.S,https://www.ecoregistry.io/projects/CDC-59,cercarbono
CCB60,BANAKALE - ISIMALI REDD+,REGUARDO INDIGENA SANTA TERESITA DEL TUPARRO,https://www.ecoregistry.io/projects/CDC-60,cercarbono
CCB61,COCOMAN FRONTERA REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-61,cercarbono
CCB63,“PLANETA AGRADECIDO CON EL RESGUARDO INDÍGENA CMARI”,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-63,cercarbono
CCB64,“Planeta agradecido con el Resguardo Indígena Bajo Río Guainía y Río Negro”,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-64,cercarbono
CCB67,Proyecto REDD+ Zona Isana y Surubi,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-67,cercarbono
CCB69,PCH La Naveta,IAC ENERGY S.A.S E.S.P.,https://www.ecoregistry.io/projects/CDC-69,cercarbono
CCB76,PRR-GEI ENTREPALMAS S.A.S,ENTREPALMAS S.A.S,https://www.ecoregistry.io/projects/CDC-76,cercarbono
CCB78,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-78,cercarbono
CCB79,Carbono Verde,Tekia S.A.S,https://www.ecoregistry.io/projects/CDC-79,cercarbono
CCB81,"Grupo Daabon, Aprovechamiento de Metano",C.I. Tequendama S.A.S.,https://www.ecoregistry.io/projects/CDC-81,cercarbono
CCB82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Aceites Manuelita S.A.,https://www.ecoregistry.io/projects/CDC-82,cercarbono
CCB83,Primera sombrilla de generación solar fotovoltaica de Ecopetrol,Ecopetrol S.A.,https://www.ecoregistry.io/projects/CDC-83,cercarbono
CCB84,Programa de aprovechamiento de gas asociado de Ecopetrol,Ecopetrol S.A.,https://www.ecoregistry.io/projects/CDC-84,cercarbono
CCB86,Proyecto agrupado HZ Energy,HZ ENERGY S.A.S. E.S.P.,https://www.ecoregistry.io/projects/CDC-86,cercarbono
CCB87,Ciclo Combinado Termoflores IV,Prime Termoflores S.A.S E.S.P,https://www.ecoregistry.io/projects/CDC-87,cercarbono
CCB89,REDD+ PAZCÍFICO,CO2CERO,https://www.ecoregistry.io/projects/CDC-89,cercarbono
CCB95,APROVECHAMIENTO Y RECUPERACIÓN DE GAS MEDIANTE LA INSTALACIÓN DE UNA PLANTA PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA - TERMOMECHERO,Termo Mechero Morro S.A.S E.S.P,https://www.ecoregistry.io/projects/CDC-95,cercarbono
CCB97,CARBONO SANTA INES,AGROINDUSTRIAS SANTA INES S.A.S. - AGROSI S.A.S.,https://www.ecoregistry.io/projects/CDC-97,cercarbono
CCB98,JAJÖM CMARI REDD+ ,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-98,cercarbono
CCB99,Pedeguita y Mancilla REDD+,TERRA COMMODITIES,https://www.ecoregistry.io/projects/CDC-99,cercarbono
CCB100,PITUGUCAJUDE,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-100,cercarbono
CCB102,Proyecto Agrupado YAAWI IIPANA REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-102,cercarbono
CCB104,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-104,cercarbono
CCB105,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-105,cercarbono
CCB108,Proyecto Solar Fotovoltaico Agrupado URRÁ S.A. E.S.P.,URRA,https://www.ecoregistry.io/projects/CDC-108,cercarbono
CCB109,Bosques Solares de los Llanos 1,ISAGEN S.A. ESP,https://www.ecoregistry.io/projects/CDC-109,cercarbono
CCB112,Sustitución de combustibles fósiles por combustibles alternativos en la producción de Clinker Planta Cartagena,Zona Franca Argos S.A.S.,https://www.ecoregistry.io/projects/CDC-112,cercarbono
CCB113,Eficiencia energética por Control Operacional en la Refinería de Cartagena,Refinería de Cartagena S.A.S.,https://www.ecoregistry.io/projects/CDC-113,cercarbono
CCB114,PROYECTO REDD+ PAZCÍFICO SUR,CO2CERO,https://www.ecoregistry.io/projects/CDC-114,cercarbono
CCB115,PARQUE EÓLICO WESP 01,ISAGEN S.A. ESP,https://www.ecoregistry.io/projects/CDC-115,cercarbono
CCB116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Manuelita S.A.,https://www.ecoregistry.io/projects/CDC-116,cercarbono
CCB117,CHONTA COROZO REDD+ Project,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-117,cercarbono
CCB118,"Cavadacavᵾ Coreivᵾ Jocᵾ Bᵾcᵾro Rẽ, N̄ᵾjẽ N̄ecᵾvã Aiye Baquepe",Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-118,cercarbono
CCB146,Planeta Agradecido con el Resguardo indígena Bajo Río Guainía y Río Negro II,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-146,cercarbono
CCB148,Proyecto de Conservación UNU-MAI REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-148,cercarbono
CCB152,GUAINIA REDD+ PROJECT,OVIEDO S.A.S.,https://www.ecoregistry.io/projects/CDC-152,cercarbono
CCB155,Awakadaa Jiduaa,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-155,cercarbono
CCB156,ORINOCO REDD+ PROJECT,OVIEDO S.A.S.,https://www.ecoregistry.io/projects/CDC-156,cercarbono
CCB161,PCH CANTAYUS,CENIT ,https://www.ecoregistry.io/projects/CDC-161,cercarbono
CCB166,Proyecto Agrupado Bio D S.A,BIO D S.A.,https://www.ecoregistry.io/projects/CDC-166,cercarbono
CCB173,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-173,cercarbono
CCB181,Carbono Hass,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-181,cercarbono
CCB182,Prueba plataforma,ATMOSPHERE ALTERNATIVE SAS ,https://www.ecoregistry.io/projects/CDC-182,cercarbono
CCB183,Prueba plataforma,ATMOSPHERE ALTERNATIVE SAS ,https://www.ecoregistry.io/projects/CDC-183,cercarbono
CCB185,PMCC AGROINCE,AGROINCE LTDA Y CIA S.C.A,https://www.ecoregistry.io/projects/CDC-185,cercarbono
CCB191,Proyecto de reducción de GEI - GREMCA,GREMCA AGRICULTURA Y ENERGÍA SOSTENIBLE S.A,https://www.ecoregistry.io/projects/CDC-191,cercarbono
CCB194,PCH NARE,GENERADORA NARE S.A.S E.S.P,https://www.ecoregistry.io/projects/CDC-194,cercarbono
CCB196,Guajira I Wind Farm,ISAGEN S.A. ESP,https://www.ecoregistry.io/projects/CDC-196,cercarbono
CCB199,Proyectos Fotovoltaicos Guamo y Numbana,Erco Energía,https://www.ecoregistry.io/projects/CDC-199,cercarbono
CCB202,Rio Amoya Run-of-River Hydro Project,ISAGEN S.A. ESP,https://www.ecoregistry.io/projects/CDC-202,cercarbono
CCB215,Proyecto Palmas del Cesar S.A,PALMAS DEL CESAR S.A,https://www.ecoregistry.io/projects/CDC-215,cercarbono
CCB221,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,Aguas Nacionales EPM S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-221,cercarbono
CCB224,Savimbo Biodiversity Putumayo,Savimbo Inc.,https://www.ecoregistry.io/projects/CDB-1,cercarbono
CCB232,LIGNUS - BONOS DE CARBONO,LIGNUS SAS,https://www.ecoregistry.io/projects/CDC-232,cercarbono
CCB244,Proyecto Forestal CO2CERO Chigüiro,CO2CERO,https://www.ecoregistry.io/projects/CDC-254,cercarbono
CCB247,Generación de Energía y Reducción de GEI-IACSA,Industrial Aceitera de Casanare S.A. SUCURSAL COLO,https://www.ecoregistry.io/projects/CDC-250,cercarbono
CCB251,RUTA ANDINA,AGI Ambiental,https://www.ecoregistry.io/projects/CDC-248,cercarbono
CCB254,Soluciones Energéticas Promigas,PROMIGAS SA ESP,https://www.ecoregistry.io/projects/CDC-253,cercarbono
CCB106,Aire de Vida “FIIVO JAAGAVA KOMUYA JAG+Y+”Monochoa REDD+,,https://www.ecoregistry.io/projects/CDC-106,cercarbono
CCB107,Proyecto Nuestro Aire Vida “Kai KOMUYAJAG+Y+” REDD+ Puerto Zábalo y Los Monos,,https://www.ecoregistry.io/projects/CDC-107,cercarbono
GLD23504,CDR ORINOQUIA,Biofix Consultoría S.A.S. BIC,https://registry.goldstandard.org/projects?q=gs23504,gold-standard
GLD23368,Carbono Vivo Marañón KardiaNuts & Kashú,C-NEUTRAL SAS,https://registry.goldstandard.org/projects?q=gs23368,gold-standard
GLD23367,Carbono Vivo Marañón,C-NEUTRAL SAS,https://registry.goldstandard.org/projects?q=gs23367,gold-standard
GLD23254,Brújula Verde,Inverbosques S.A,https://registry.goldstandard.org/projects?q=gs23254,gold-standard
GLD13100,Amazonia Nativa,ACT Climate Solutions B.V.,https://registry.goldstandard.org/projects?q=gs13100,gold-standard
GLD12696,Conservación de la selva de Guainía,Comunidades Sostenibles S.A.S.,https://registry.goldstandard.org/projects?q=gs12696,gold-standard
GLD23178,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,BaumInvest AG,https://registry.goldstandard.org/projects?q=gs23178,gold-standard
GLD12926,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,BaumInvest AG,https://registry.goldstandard.org/projects?q=gs12926,gold-standard
GLD12384,BioGrow Energy,Carlo Vigna Taglianti,https://registry.goldstandard.org/projects?q=gs12384,gold-standard
GLD12186,BaumInvest Flor Morado Reforestation Project Veraneo,BaumInvest AG,https://registry.goldstandard.org/projects?q=gs12186,gold-standard
GLD10829,San Juan de Pasto Clean Project,Sustainable Carbon - Projetos Ambientais LTDA,https://registry.goldstandard.org/projects?q=gs10829,gold-standard
GLD4221,Vichada Climate Reforestation Project (PAZ) ,FORLIANCE,https://registry.goldstandard.org/projects?q=gs4221,gold-standard
GLD4822,Barroso 20MW hydroelectric project,ISAGEN S.A. E.S.P.,https://registry.goldstandard.org/projects?q=gs4822,gold-standard
GLD3932,Guanaquitas 9.74 MW hydroelectric project,ALLCOT AG,https://registry.goldstandard.org/projects?q=gs3932,gold-standard
GLD3349,Programme of Activities for the Development and Promotion of Renewable Energy,CAEMA,https://registry.goldstandard.org/projects?q=gs3349,gold-standard
GLD1373,Caruquia 9.76 MW hydroelectric project,ALLCOT AG,https://registry.goldstandard.org/projects?q=gs1373,gold-standard
GLD1298,Caruquia 9.76 MW hydroelectric project Pre-CDM VERs,ALLCOT AG,https://registry.goldstandard.org/projects?q=gs1298,gold-standard
GLD1074,Santander and Las Tapias Renewable Energy Project,Sustainable Carbon - Projetos Ambientais LTDA,https://registry.goldstandard.org/projects?q=gs1074,gold-standard
