COD_DANE,NOMBRE_MPI,mun_limpio_panel,confianza_sugerencia,candidatos_subcadena,candidatos_difflib_solamente
25260,EL ROSAL,el rosal,"baja (solo similitud de letras, verificar con cuidado)",,el rosario; el cairo; rosas
25398,LA PEÑA,la pena,"baja (solo similitud de letras, verificar con cuidado)",,la pe¥a; la paz; la vega; la mesa; la ceja
25599,APULO,apulo,alta (coincidencia de subcadena),apulo (rafael reyes),puli; ulloa; plato
25645,SAN ANTONIO DEL TEQUENDAMA,san antonio del tequendama,alta (coincidencia de subcadena),san antonio; san antonio del tequendam,san juan de uraba; san juan de arama
25662,SAN JUAN DE RIOSECO,san juan de rioseco,"baja (solo similitud de letras, verificar con cuidado)",,san juan de rio seco; san juan de uraba; san juan de arama; san juan del cesar; san juan nepomuceno
25843,VILLA DE SAN DIEGO DE UBATÉ,villa de san diego de ubate,alta (coincidencia de subcadena),san diego; ubate,
27025,ALTO BAUDÓ,alto baudo,alta (coincidencia de subcadena),alto baudo (pie de pato),obando; bajo baudo (is.); salado blanco; hato nuevo
27050,ATRATO,atrato,"baja (solo similitud de letras, verificar con cuidado)",,marmato; aratoca; ataco; mistrato; paramo
27075,BAHÍA SOLANO,bahia solano,alta (coincidencia de subcadena),bahia solano (ciudad muti; solano,
27077,BAJO BAUDÓ,bajo baudo,alta (coincidencia de subcadena),bajo baudo (is.); bajo baudo (pizarro),bagado
27099,BOJAYÁ,bojaya,alta (coincidencia de subcadena),bojaya (bella vista),bojaca; olaya; saboya; boyaca; baraya
27135,EL CANTÓN DEL SAN PABLO,el canton del san pablo,alta (coincidencia de subcadena),san pablo,canton de san pablo; litoral del san juan
27150,CARMEN DEL DARIÉN,carmen del darien,"baja (solo similitud de letras, verificar con cuidado)",,carmen de carupa; carmen de apicala; candelaria; el carmen de bolivar; cartagena del chaira
27160,CÉRTEGUI,certegui,"baja (solo similitud de letras, verificar con cuidado)",,cerete; togui
27245,EL CARMEN DE ATRATO,el carmen de atrato,alta (coincidencia de subcadena),el carmen,carmen de carupa; el carmen de bolivar; carmen de viboral; carmen de apicala
27250,EL LITORAL DEL SAN JUAN,el litoral del san juan,alta (coincidencia de subcadena),litoral del san juan,litoral del san juan (is.; valle de san juan
27425,MEDIO ATRATO,medio atrato,"baja (solo similitud de letras, verificar con cuidado)",,mistrato; marmato
27430,MEDIO BAUDÓ,medio baudo,sin sugerencia,,
27450,MEDIO SAN JUAN,medio san juan,"baja (solo similitud de letras, verificar con cuidado)",,valle de san juan; litoral del san juan; san juanito; medina
27493,NUEVO BELÉN DE BAJIRÁ,nuevo belen de bajira,alta (coincidencia de subcadena),belen,belen de umbria
27580,RÍO IRÓ,rio iro,"baja (solo similitud de letras, verificar con cuidado)",,rio viejo; riofrio; rio de oro; riosucio; rionegro
27600,RÍO QUITO,rio quito,"baja (solo similitud de letras, verificar con cuidado)",,riosucio; rio viejo; mariquita; riofrio
27810,UNIÓN PANAMERICANA,union panamericana,sin sugerencia,,
41132,CAMPOALEGRE,campoalegre,"baja (solo similitud de letras, verificar con cuidado)",,campo alegre; canalete; campohermoso
41660,SALADOBLANCO,saladoblanco,"baja (solo similitud de letras, verificar con cuidado)",,salado blanco; solano; rioblanco; caldono; el banco
41872,VILLAVIEJA,villavieja,"baja (solo similitud de letras, verificar con cuidado)",,villa vieja; villeta; villarrica; villanueva; villavicencio
44090,DIBULLA,dibulla,"baja (solo similitud de letras, verificar con cuidado)",,padilla; ulloa
44098,DISTRACCIÓN,distraccion,"baja (solo similitud de letras, verificar con cuidado)",,mistrato; contratacion; fundacion
44378,HATONUEVO,hatonuevo,alta (coincidencia de subcadena),hato,hato nuevo; polo nuevo
44420,LA JAGUA DEL PILAR,la jagua del pilar,"baja (solo similitud de letras, verificar con cuidado)",,la jagua de iribico; san juan del cesar; san jose del palmar; san juan de arama; agua de dios
47001,SANTA MARTA,santa marta,alta (coincidencia de subcadena),santa marta (dist. esp.); santa marta (dist. esp.)(,santa maria; santamaria; santa rita; santa ana; santa rosa
47030,ALGARROBO,algarrobo,"baja (solo similitud de letras, verificar con cuidado)",,salgar; malambo
47161,CERRO DE SAN ANTONIO,cerro de san antonio,alta (coincidencia de subcadena),san antonio,cerro san antonio; canton de san pablo
47258,EL PIÑÓN,el pinon,"baja (solo similitud de letras, verificar con cuidado)",,el pi¥on; el espino; el pe¥on; el playon; el molino
47268,EL RETÉN,el reten,"baja (solo similitud de letras, verificar con cuidado)",,el retorno; cerete; el carmen; el pe¥on; el bagre
47460,NUEVA GRANADA,nueva granada,alta (coincidencia de subcadena),granada,la llanada
47545,PIJIÑO DEL CARMEN,pijino del carmen,alta (coincidencia de subcadena),el carmen,
47570,PUEBLOVIEJO,puebloviejo,"baja (solo similitud de letras, verificar con cuidado)",,pueblo viejo; pueblorrico; pueblo rico; pueblo nuevo; el dovio
47660,SABANAS DE SAN ÁNGEL,sabanas de san angel,"baja (solo similitud de letras, verificar con cuidado)",,santa rosa de cabal; canton de san pablo; sabana de torres
47692,SAN SEBASTIÁN DE BUENAVISTA,san sebastian de buenavista,alta (coincidencia de subcadena),buenavista; san sebastian; san sebastian de buenavis,san jose del guaviare; san martin de loba; san juan de betulia
47720,SANTA BÁRBARA DE PINTO,santa barbara de pinto,alta (coincidencia de subcadena),santa barbara,santa rosa de viterbo; santa rosa de osos; santa rosa del sur
47745,SITIONUEVO,sitionuevo,"baja (solo similitud de letras, verificar con cuidado)",,hato nuevo; polo nuevo
47960,ZAPAYÁN,zapayan,alta (coincidencia de subcadena),paya,popayan; zapatoca; la playa; pelaya
47980,ZONA BANANERA,zona bananera,"baja (solo similitud de letras, verificar con cuidado)",,santa barbara
50370,URIBE,uribe,alta (coincidencia de subcadena),la uribe,uribia; cumaribo; ubate; turbo
52224,CUASPUD CARLOSAMA,cuaspud carlosama,alta (coincidencia de subcadena),cuaspud,
52254,EL PEÑOL,el penol,alta (coincidencia de subcadena),penol,el pe¥on; el espino; el retorno; el paso
52258,EL TABLÓN DE GÓMEZ,el tablon de gomez,alta (coincidencia de subcadena),el tablon,
52699,SANTACRUZ,santacruz,"baja (solo similitud de letras, verificar con cuidado)",,santa cruz; santamaria; santa rosa; santa rita; santana
52835,SAN ANDRÉS DE TUMACO,san andres de tumaco,alta (coincidencia de subcadena),san andres; tumaco,san carlos de guaroa; san andres de sotavento; santander de quilichao; san juan de betulia
54001,SAN JOSÉ DE CÚCUTA,san jose de cucuta,alta (coincidencia de subcadena),cucuta,san jose de ocune; san jose de pare; san jose de fragua; san jose del guaviare; san jose del palmar
54498,OCAÑA,ocana,"baja (solo similitud de letras, verificar con cuidado)",,oca¥a; oicata; tocancipa; tona; tocaima
66170,DOSQUEBRADAS,dosquebradas,"baja (solo similitud de letras, verificar con cuidado)",,dos quebradas; mosquera; quebradanegra; mosquera (is.)
68235,EL CARMEN DE CHUCURÍ,el carmen de chucuri,alta (coincidencia de subcadena),el carmen,el carmen de bolivar; san vicente de chucuri; carmen de carupa; belen de umbria
68250,EL PEÑÓN,el penon,"baja (solo similitud de letras, verificar con cuidado)",,el pe¥on; el pi¥on; el playon; el espino; repelon
68684,SAN JOSÉ DE MIRANDA,san jose de miranda,alta (coincidencia de subcadena),miranda,san jose miranda; san jose de fragua; san jose de la montana; san jose de pare; san jose del palmar
68720,SANTA HELENA DEL OPÓN,santa helena del opon,"baja (solo similitud de letras, verificar con cuidado)",,santa helena de opon; santa rosa de osos; santa rosa del sur
68855,VALLE DE SAN JOSÉ,valle de san jose,"baja (solo similitud de letras, verificar con cuidado)",,valle de  san jose; valle de san juan
