COD_DANE,NOMBRE_MPI,year,temp_media_c,prec_anual_mm
68235,EL CARMEN DE CHUCURÍ,2010,25.127233926873544,2995.8247007107466
68235,EL CARMEN DE CHUCURÍ,2011,24.81714772676179,3108.7679080328116
68235,EL CARMEN DE CHUCURÍ,2012,25.318062651784885,2401.580566332417
68235,EL CARMEN DE CHUCURÍ,2013,25.412463760376056,2313.932501821992
68235,EL CARMEN DE CHUCURÍ,2014,25.654910559403334,2316.7536749528617
68235,EL CARMEN DE CHUCURÍ,2015,26.114179530896706,2196.901906610201
68235,EL CARMEN DE CHUCURÍ,2016,26.20075428611358,2344.470767234173
68235,EL CARMEN DE CHUCURÍ,2017,25.942509420294527,2534.5926113033397
68235,EL CARMEN DE CHUCURÍ,2018,25.83121181287271,2483.998933100104
68235,EL CARMEN DE CHUCURÍ,2019,26.39610924971737,2465.684144062348
68235,EL CARMEN DE CHUCURÍ,2020,26.723138929668266,2212.189113417924
68235,EL CARMEN DE CHUCURÍ,2021,24.324480967820477,2632.2279886719043
68235,EL CARMEN DE CHUCURÍ,2022,23.800719874631284,2822.9224511103503
68250,EL PEÑÓN,2001,25.328100585937534,2862.2332019941987
68250,EL PEÑÓN,2002,25.75472552959741,2593.409125675701
68250,EL PEÑÓN,2003,25.720568143404535,2768.1822912697335
68250,EL PEÑÓN,2004,25.361805372971787,2916.2081857270477
68250,EL PEÑÓN,2005,25.505690354567378,2840.0508523581443
68250,EL PEÑÓN,2006,25.147715641902096,3284.1829139995807
68250,EL PEÑÓN,2007,25.19792644794171,3392.302846789611
68250,EL PEÑÓN,2008,24.723565908578735,3330.048473932823
68250,EL PEÑÓN,2009,25.481432401216978,2984.6512710268917
68250,EL PEÑÓN,2010,25.577549156775888,3511.2009989943153
68250,EL PEÑÓN,2011,25.20507061298082,3565.7052822837113
68250,EL PEÑÓN,2012,25.79263516939608,2828.562912423606
68250,EL PEÑÓN,2013,25.95852614182695,2816.925975488092
68250,EL PEÑÓN,2014,26.399676748422507,2844.583772553665
68250,EL PEÑÓN,2015,26.850355647160484,3053.835006333859
68250,EL PEÑÓN,2016,26.84487562913165,2752.0607337313536
68250,EL PEÑÓN,2017,26.822236750676154,2773.549296557886
68250,EL PEÑÓN,2018,26.940247990534942,2709.502682990111
68250,EL PEÑÓN,2019,27.541560246394283,2797.515235426764
68250,EL PEÑÓN,2020,27.825320904071532,2763.571201486375
68250,EL PEÑÓN,2021,23.289333642219674,2825.366741707033
68250,EL PEÑÓN,2022,22.76915518984663,3561.170254534879
68684,SAN JOSÉ DE MIRANDA,2001,16.07442392202529,1092.0019084749813
68684,SAN JOSÉ DE MIRANDA,2002,16.34721585787264,1196.3680525789546
68684,SAN JOSÉ DE MIRANDA,2003,16.248029033954367,1407.2962207875426
68684,SAN JOSÉ DE MIRANDA,2004,16.219691115159264,1271.2933156006686
68684,SAN JOSÉ DE MIRANDA,2005,16.40757610614486,1255.287518366392
68684,SAN JOSÉ DE MIRANDA,2006,16.21567101111782,1319.2031426720687
68684,SAN JOSÉ DE MIRANDA,2007,16.13918222280654,1192.8442905583963
68684,SAN JOSÉ DE MIRANDA,2008,15.963026545597984,1268.9246713463363
68684,SAN JOSÉ DE MIRANDA,2009,16.480704439603414,1185.8929883598714
68684,SAN JOSÉ DE MIRANDA,2010,16.688882446289085,1635.5973909441527
68684,SAN JOSÉ DE MIRANDA,2011,16.178653188852195,1636.458014256225
68684,SAN JOSÉ DE MIRANDA,2012,16.29463759202224,1324.7513716895303
68684,SAN JOSÉ DE MIRANDA,2013,16.735616595928548,1128.5087787472125
68684,SAN JOSÉ DE MIRANDA,2014,16.76964839054989,1081.460066042309
68684,SAN JOSÉ DE MIRANDA,2015,16.986020366962123,822.6962470165712
68684,SAN JOSÉ DE MIRANDA,2016,17.066151310847374,1108.811698410477
68684,SAN JOSÉ DE MIRANDA,2017,16.470265080378624,1331.6424825259508
68684,SAN JOSÉ DE MIRANDA,2018,16.325182166466334,1357.9527600707631
68684,SAN JOSÉ DE MIRANDA,2019,16.782851938100976,1191.9928873118056
68684,SAN JOSÉ DE MIRANDA,2020,17.00331796499404,1142.3731540797628
68684,SAN JOSÉ DE MIRANDA,2021,17.557238715411813,1203.6481247870177
68684,SAN JOSÉ DE MIRANDA,2022,17.21232537368769,1528.425499040521
68720,SANTA HELENA DEL OPÓN,2001,24.269325007948794,3227.498739231062
68720,SANTA HELENA DEL OPÓN,2002,24.78965373667637,2997.500229465088
68720,SANTA HELENA DEL OPÓN,2003,24.831557683427206,3198.1947899060115
68720,SANTA HELENA DEL OPÓN,2004,24.52714152964512,2990.868139507072
68720,SANTA HELENA DEL OPÓN,2005,24.594499502255985,3321.5640478163277
68720,SANTA HELENA DEL OPÓN,2006,24.202317396060494,3223.1374400760637
68720,SANTA HELENA DEL OPÓN,2007,24.22743572856109,3369.982663893915
68720,SANTA HELENA DEL OPÓN,2008,23.90576980945673,3283.563884436318
68720,SANTA HELENA DEL OPÓN,2009,24.49414824256604,3089.372738420963
68720,SANTA HELENA DEL OPÓN,2010,24.72330426356592,3760.2252044430275
68720,SANTA HELENA DEL OPÓN,2011,24.41156223504123,3577.220506918844
68720,SANTA HELENA DEL OPÓN,2012,24.843983305701954,3034.023527093365
68720,SANTA HELENA DEL OPÓN,2013,24.98547202413397,2930.189568731579
68720,SANTA HELENA DEL OPÓN,2014,25.442248251271792,3085.4001613392625
68720,SANTA HELENA DEL OPÓN,2015,25.80338144228449,2762.885706928671
68720,SANTA HELENA DEL OPÓN,2016,25.82726677000062,2863.3424424290806
68720,SANTA HELENA DEL OPÓN,2017,25.72257207826135,3079.3199812167722
68720,SANTA HELENA DEL OPÓN,2018,25.6938240465268,2998.030169484988
68720,SANTA HELENA DEL OPÓN,2019,26.26544714639357,2961.318381949722
68720,SANTA HELENA DEL OPÓN,2020,26.77926569502489,2757.3886174893623
68720,SANTA HELENA DEL OPÓN,2021,22.981601161357105,2935.8515571225576
68720,SANTA HELENA DEL OPÓN,2022,22.480608059269912,3549.9902263917306
68855,VALLE DE SAN JOSÉ,2001,18.066278076171898,2184.920512532378
68855,VALLE DE SAN JOSÉ,2002,18.378198242187523,2234.8956468802617
68855,VALLE DE SAN JOSÉ,2003,18.302484130859398,2447.164793382191
68855,VALLE DE SAN JOSÉ,2004,18.249230957031273,2267.555384252413
68855,VALLE DE SAN JOSÉ,2005,18.429101562500023,2319.3426780883815
68855,VALLE DE SAN JOSÉ,2006,18.159692382812523,2428.764161147959
68855,VALLE DE SAN JOSÉ,2007,18.153100585937523,2498.3421543215018
68855,VALLE DE SAN JOSÉ,2008,17.965295410156273,2221.9550632835317
68855,VALLE DE SAN JOSÉ,2009,18.504388427734398,2233.6748547561065
68855,VALLE DE SAN JOSÉ,2010,18.754846191406273,2633.7564403901606
68855,VALLE DE SAN JOSÉ,2011,18.285577392578148,2703.4665884059505
68855,VALLE DE SAN JOSÉ,2012,18.382073974609398,2245.8362585343148
68855,VALLE DE SAN JOSÉ,2013,18.805291748046898,2100.5438090342714
68855,VALLE DE SAN JOSÉ,2014,18.812615966796898,2109.5037496970363
68855,VALLE DE SAN JOSÉ,2015,19.043756103515648,2338.849938925824
68855,VALLE DE SAN JOSÉ,2016,19.140039062500023,2223.0367164217387
68855,VALLE DE SAN JOSÉ,2017,18.735833740234398,2363.8456716192354
68855,VALLE DE SAN JOSÉ,2018,18.556359863281273,2547.3849380914357
68855,VALLE DE SAN JOSÉ,2019,18.978631591796898,2306.4346308289114
68855,VALLE DE SAN JOSÉ,2020,19.158288574218773,2228.7338654345212
68855,VALLE DE SAN JOSÉ,2021,19.236506250921536,2420.9763909252565
68855,VALLE DE SAN JOSÉ,2022,18.881885001652677,2802.5007706121646
70204,COLOSÓ,2001,26.733730156477122,1201.6934093608704
70204,COLOSÓ,2002,27.329145848473786,1120.2419456185276
70204,COLOSÓ,2003,27.242941497093,1307.3725453039283
70204,COLOSÓ,2004,27.28535028502,1105.5374685526438
70204,COLOSÓ,2005,27.292203965297915,1314.6797450856536
70204,COLOSÓ,2006,27.13690710733107,1265.2025683805282
70204,COLOSÓ,2007,27.080200479197003,1387.1938396243204
70204,COLOSÓ,2008,26.763865200308828,1328.9004023932296
70204,COLOSÓ,2009,27.451417009220563,1112.1520747135492
70204,COLOSÓ,2010,27.393791305187165,1702.4269360909727
70204,COLOSÓ,2011,26.898395201217284,1551.9827935499147
70204,COLOSÓ,2012,27.424298237645303,1115.7212948345702
70204,COLOSÓ,2013,27.458487861101048,1311.4672162000993
70204,COLOSÓ,2014,27.631379167423688,1058.3259289016466
70204,COLOSÓ,2015,28.155854974791055,948.7046086145319
70204,COLOSÓ,2016,27.864837220657705,1096.605354862725
70204,COLOSÓ,2017,27.667051377407347,1222.0118226238583
70204,COLOSÓ,2018,27.481478952807095,1081.9600057326388
70204,COLOSÓ,2019,27.793188334620254,938.5017870411755
70204,COLOSÓ,2020,28.134609062727066,1079.9074435419964
70204,COLOSÓ,2021,26.48239471449523,1132.9656365217143
70204,COLOSÓ,2022,26.000839721129637,1523.0294530629571
70221,COVEÑAS,2001,27.290826416015648,1149.0661450956734
70221,COVEÑAS,2002,27.825311279296898,1074.134207409367
70221,COVEÑAS,2003,27.673425292968773,1271.6228032735753
70221,COVEÑAS,2004,27.691705322265648,1185.5540489348957
70221,COVEÑAS,2005,27.764703369140648,1342.521811369379
70221,COVEÑAS,2006,27.657037353515648,1175.377282242826
70221,COVEÑAS,2007,27.554162597656273,1390.6748581607294
70221,COVEÑAS,2008,27.340447998046898,1451.6832735904359
70221,COVEÑAS,2009,27.910577392578148,1194.2125383365662
70221,COVEÑAS,2010,27.836694335937523,1959.0289303175953
70221,COVEÑAS,2011,27.554986572265648,1544.277828531887
70221,COVEÑAS,2012,27.883050537109398,1347.503038831531
70221,COVEÑAS,2013,27.911309814453148,1371.2864066255856
70221,COVEÑAS,2014,28.114099121093773,1023.1564021984316
70221,COVEÑAS,2015,28.467187500000023,892.9205389675944
70221,COVEÑAS,2016,28.225915527343773,1176.9695541579677
70221,COVEÑAS,2017,28.155572509765648,1197.6033451270553
70221,COVEÑAS,2018,28.002862548828148,1073.9254896376679
70221,COVEÑAS,2019,28.276422119140648,991.5648824350633
70221,COVEÑAS,2020,28.345208740234398,1194.2224457807365
70221,COVEÑAS,2021,27.21269347959776,1092.3351572093816
70221,COVEÑAS,2022,26.87134590610816,1450.0452815396357
70233,EL ROBLE,2001,26.721429443359398,1290.810849051708
70233,EL ROBLE,2002,27.430841064453148,1133.1564673463715
70233,EL ROBLE,2003,27.353234863281273,1359.0070738950715
70233,EL ROBLE,2004,27.367852783203148,1428.027284113984
70233,EL ROBLE,2005,27.458612060546898,1532.260675307194
70233,EL ROBLE,2006,27.137048339843773,1621.521755259035
70233,EL ROBLE,2007,27.174584960937523,1678.1987222405323
70233,EL ROBLE,2008,26.853570556640648,1672.7637967922726
70233,EL ROBLE,2009,27.634454345703148,1371.6529425249555
70233,EL ROBLE,2010,27.576531982421898,2014.8459435283812
70233,EL ROBLE,2011,26.925225830078148,1859.1197039766591
70233,EL ROBLE,2012,27.579461669921898,1432.2996361066341
70233,EL ROBLE,2013,27.711968994140648,1410.9371832525155
70233,EL ROBLE,2014,28.082208251953148,1157.4203414427316
70233,EL ROBLE,2015,28.542016601562523,1048.5293778080834
70233,EL ROBLE,2016,28.312677001953148,1206.4009225033874
70233,EL ROBLE,2017,27.935601806640648,1492.2957093154594
70233,EL ROBLE,2018,27.772943115234398,1367.1366326253185
70233,EL ROBLE,2019,28.281182861328148,1186.976524221414
70233,EL ROBLE,2020,28.965356445312523,1277.653895644242
70233,EL ROBLE,2021,26.965391097298152,1402.221269856203
70233,EL ROBLE,2022,26.55129941540207,1846.8655064137713
70742,SAN LUIS DE SINCÉ,2001,26.649048625247588,1025.445264253108
70742,SAN LUIS DE SINCÉ,2002,27.356684639084563,984.0893489676456
70742,SAN LUIS DE SINCÉ,2003,27.2681724870709,1135.21388039281
70742,SAN LUIS DE SINCÉ,2004,27.302540437940138,1200.3429679581504
70742,SAN LUIS DE SINCÉ,2005,27.362845751265468,1209.9024434709168
70742,SAN LUIS DE SINCÉ,2006,27.077983286683036,1392.3663225146083
70742,SAN LUIS DE SINCÉ,2007,27.09672473316465,1441.1867499389407
70742,SAN LUIS DE SINCÉ,2008,26.75683370240978,1407.6443336764942
70742,SAN LUIS DE SINCÉ,2009,27.55606371382595,1156.1006834773998
70742,SAN LUIS DE SINCÉ,2010,27.49567007145407,1693.6078252568527
70742,SAN LUIS DE SINCÉ,2011,26.844030804701276,1712.3027985416018
70742,SAN LUIS DE SINCÉ,2012,27.510528478488197,1141.7327019259365
70742,SAN LUIS DE SINCÉ,2013,27.627963127888393,1255.0369339239355
