Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-19,CARBONO OXIGENO PARA TODOS,Certified,https://www.ecoregistry.io/projects/19,INVERSIONES FORESTALES LA CABAÑA SAS,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2009-01-06,2028-01-06,2009-01-06,2009-01-06,2028-01-05,3,6,05001;05129;05148;05607;15131;54245,CALDAS;EL CARMEN;EL CARMEN DE VIBORAL;MEDELLIN;RETIRO
CDC-148,Proyecto de Conservación UNU-MAI REDD+,Certified,https://www.ecoregistry.io/projects/148,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,"PROTOCOL CVCC 4.2, PROTOCOL CVCC 4.4",Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2017-01-01,2046-12-31,2017-01-01,2017-01-01,2036-12-31,2,1,94001,INIRIDA
CDC-188,Sogamoso Hydroelectric Project,Certified,https://www.ecoregistry.io/projects/188,ISAGEN S.A. ESP,ISAGEN S.A. ESP,Yes,PROTOCOL CVCC 4.3,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2023-06-15,2033-06-14,2023-06-15,2023-06-15,2033-06-14,1,1,15759,SOGAMOSO
CDC-23,Carbono Bagatela,Verification,https://www.ecoregistry.io/projects/23,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2011-02-03,2030-02-02,2011-02-03,2011-02-03,2030-02-02,3,5,05051;13212;23419;52215;63212,ARBOLETES;CORDOBA;LOS CORDOBAS
CDC-22,Proyecto Conservación ARLEQUÍN REDD+,Certified,https://www.ecoregistry.io/projects/22,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.4",Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2015-01-01,2044-12-31,2015-01-01,2015-01-01,2034-12-31,2,3,13670;27160;52693,CERTEGUI;SAN PABLO
CDC-82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Certified,https://www.ecoregistry.io/projects/82,Aceites Manuelita S.A.,Aceites Manuelita S.A.,No,PROTOCOL CVCC V2.1,Combined (Sectors 1 and 13),"AMS-I.C.: Thermal energy production with or without electricity, CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-III.F: Avoidance of methane emissions through composting",Avoidance,2017-05-25,2067-05-24,2017-05-25,2017-05-25,2037-05-24,3,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,Biogás Colombia S.A.S. E.S.P.,Biogás Colombia S.A.S. E.S.P.,Yes,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 4.4",Waste handling and disposal,"CDM - ACM0001: Flaring or use of landfill gas, Methodology for executing projects that capture, destroy, or use the biogas produced in sanitary landfills, M/WM-RE_ED01: Methodology for the implementation of projects for the capture, destruction or use of biogas produced in landfills",Avoidance,2009-09-30,2041-11-30,2016-09-22,2016-09-22,2033-09-21,7,0,,
CDC-14,Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,Finished,https://www.ecoregistry.io/projects/14,DISTRIPRESS SAS,South Pole Carbon Asset Management,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2009-06-09,2009-06-09,2023-06-30,1,3,05129;15131;17616,CALDAS;RISARALDA
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,Forestry Consulting Group S.A.S.,Forestry Consulting Group S.A.S.,No,"ES-I-CC-002, PROTOCOL CVCC V2.1",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2011-03-13,2060-03-13,2011-03-13,2011-03-13,2060-03-12,5,0,,
CDC-58,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,Verification,https://www.ecoregistry.io/projects/58,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,Yes,"PROTOCOL CVCC 4.3, PROTOCOL CVCC 4.4",Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2013-10-01,2043-09-30,2013-10-01,2013-10-01,2033-09-30,2,4,05647;05887;68669;88001,SAN ANDRES;SAN ANDRES DE CUERQUIA;YARUMAL
