COD_DANE,fecha_inicio,fecha_fin,fuente,proyecto_id,anio_inicio,anio_fin
15759,2016-06-15,,RENARE,68b229942cb375c800b83a62,2016,
68081,2013-01-05,,RENARE,68b229872cb375c800b83a54,2013,
41378,2011-11-15,,RENARE,68b229782cb375c800b83a48,2011,
76834,2012-01-01,,RENARE,68b229622cb375c800b83a35,2012,
13268,2011-01-02,,RENARE,68b229532cb375c800b83a29,2011,
68081,2013-01-01,,RENARE,68b229dc2cb375c800b83aa8,2013,
05002,2009-02-15,,RENARE,68b228652cb375c800b8395e,2009,
99773,2006-02-02,2035-02-02,Gold Standard,1806,2006,2035.0
05642,2016-01-29,2030-01-28,Gold Standard,854,2016,2030.0
05310,2014-02-04,2021-02-04,Gold Standard,670,2014,2021.0
68176,2014-08-15,2021-08-14,Gold Standard,655,2014,2021.0
05858,2015-03-01,2024-03-01,Gold Standard,629,2015,2024.0
68745,2014-09-03,2021-09-03,Gold Standard,608,2014,2021.0
05021,2014-07-08,2019-07-08,Gold Standard,570,2014,2019.0
05664,2012-11-28,2022-11-27,Gold Standard,556,2012,2022.0
05079,2011-10-03,2051-10-03,Gold Standard,520,2011,2051.0
05686,2011-04-18,2018-01-16,Gold Standard,228,2011,2018.0
05686,2010-01-28,2019-01-27,Gold Standard,172,2010,2019.0
25754,2013-04-01,2027-03-31,Gold Standard,57,2013,2027.0
