COD_DANE,fuente,nombre_proyecto,anio_inicio,anio_fin,confianza,metodo
25845,verra,Santa Ana Hydroelectric Plant - CER Conversion,2012.0,2022.0,alta,punto_en_poligono
68770,verra,Santa Rosa - Altamira hydroelectric projects,2020.0,2030.0,alta,punto_en_poligono
05034,verra,Saving Colombia's Cloud Forest,2017.0,2056.0,alta,punto_en_poligono
05679,verra,Sembrando Futuro 2.0,2023.0,2063.0,alta,punto_en_poligono
05364,verra,Sembrando Futuro Restoration Project,2021.0,2031.0,alta,punto_en_poligono
27077,verra,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,2013.0,2043.0,alta,punto_en_poligono
11001,verra,SOLAR GROUPED PROJECT BY EPSA-CELSIA,2017.0,2027.0,alta,punto_en_poligono
11001,verra,Suba and Usaquen Hydroelectric Umbrella Project,2023.0,2033.0,alta,punto_en_poligono
50124,verra,"Sustainable Agroforestry Cacao Meta, Colombia",2017.0,2057.0,alta,punto_en_poligono
27006,verra,The Chocó-Darién Conservation Corridor REDD Project,2010.0,2040.0,alta,punto_en_poligono
50573,verra,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,2018.0,2048.0,alta,punto_en_poligono
44430,verra,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,2021.0,2031.0,alta,punto_en_poligono
25793,verra,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",2018.0,2048.0,alta,punto_en_poligono
99773,gold_standard,Vichada Climate Reforestation Project (PAZ) ,2006.0,2035.0,alta,punto_en_poligono
05642,gold_standard,Barroso 20MW hydroelectric project,2016.0,2030.0,alta,punto_en_poligono
05310,gold_standard,Guanaquitas 9.74 MW hydroelectric project,2014.0,2021.0,alta,punto_en_poligono
68176,gold_standard,GS3510 Fundacion Natura Cookstove PoA_Satander,2014.0,2021.0,alta,punto_en_poligono
05858,gold_standard,"Vegachi, ecological restoration of degraded lands ",2015.0,2024.0,alta,punto_en_poligono
68745,gold_standard,Fundacion Natura Cookstove POA,2014.0,2021.0,alta,punto_en_poligono
05079,gold_standard,"Conservation and reforestation of degraded areas in Barbosa, Colombia",2011.0,2051.0,alta,punto_en_poligono
05686,gold_standard,Caruquia 9.76 MW hydroelectric project,2011.0,2018.0,alta,punto_en_poligono
05686,gold_standard,Caruquia 9.76 MW hydroelectric project Pre-CDM VERs,2010.0,2019.0,alta,punto_en_poligono
25754,gold_standard,Santander and Las Tapias Renewable Energy Project,2013.0,2027.0,alta,punto_en_poligono
05021,gold_standard,GEN+: Alejandría Small Hydropower (SHP) Run-of-the-River CDM Project Bundle,2014.0,2019.0,alta,punto_en_poligono
05664,gold_standard,Programme of Activities for the Development and Promotion of Renewable Energy,2012.0,2022.0,alta,punto_en_poligono
20383,renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,2020.0,2040.0,media,matching_texto
54518,renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",2025.0,2040.0,media,matching_texto
27077,renare,"Project REDD+ Pacifico Norte-Sur, ACADESAN.",2024.0,2044.0,media,matching_texto
47189,renare,Plan VERDE: Valoración de Energías Renovables y Disminución de Emisiones,2025.0,2030.0,media,matching_texto
19585,renare,GROUPED PROJECT FOR REDUCING EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION REDD - IN THE REGIONAL NATURAL PARK: BIOLOGICAL CORRIDOR PNN PURACÉ PNN CUEVA DE LOS GUÁCHAROS,2014.0,2044.0,media,matching_texto
99001,renare,Generación de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreño - Vichada,,,media,matching_texto
27050,renare,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,2019.0,2049.0,media,matching_texto
27050,renare,BAJO ATRATO REDD+ PROJECT,2019.0,2049.0,media,matching_texto
15759,renare,Proyecto hidroeléctrico Sogamoso,,,media,matching_texto
05002,renare,Proyecto Forestal Carbono Sombrilla Abejorral,2009.0,2028.0,media,matching_texto
27077,renare,REDD++ Manglares del Bajo Baudó,2021.0,2023.0,media,matching_texto
05873,renare,Proyecto REDD+ Cabildo Mayor Indígena de Vigía del Fuerte,,,media,matching_texto
20383,renare,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,2010.0,2030.0,media,matching_texto
44110,renare,Proyectos hidroeléctricos El Molino - San Matías,,,media,matching_texto
50124,renare,Sustainable Agroforestry Cacao Meta,2017.0,2057.0,media,matching_texto
27025,renare,PROYECTO REDD+ CUENCA ALTO BAUDO,2018.0,2048.0,media,matching_texto
05001,renare,Más Bosques para Medellín,2010.0,2040.0,media,matching_texto
17174,renare,"Proyecto Forestal Para La Cuenca del Rio Chinchiná, una alternativa ambiental para la ciudad y La Región¿",2002.0,2041.0,media,matching_texto
27050,renare,Proyecto REDD+ Origen Atrato - Baudó_,2018.0,2047.0,media,matching_texto
97161,renare,KÚVAY MACÄRÖ VIDI REDD+ CARURÚ,2019.0,2048.0,media,matching_texto
27050,renare,Proyecto REDD+ del Bajo Atrato,2018.0,2047.0,media,matching_texto
94888,renare,Proyecto de Conservación PALAMEKU KUWEI REDD+,2010.0,2039.0,media,matching_texto
15759,renare,Proyecto Hidroeléctrico Sogamoso,2016.0,2023.0,media,matching_texto
68081,renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia",2013.0,2042.0,media,matching_texto
41378,renare,Carbono Agroforestal La Argentina,2011.0,2030.0,media,matching_texto
68081,renare,Despacho técnico-económico de energía y vapor en la Refinería de Barrancabermeja-GRB,2013.0,2021.0,media,matching_texto
05002,renare,Proyecto Carbono Sombrilla Abejorral,2009.0,2028.0,media,matching_texto
05001,cercarbono,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,2020.0,2060.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
73168,cercarbono,Rio Amoya Run-of-River Hydro Project,2008.0,2058.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
94001,cercarbono,Proyecto de Conservación UNU-MAI REDD+,2017.0,2046.0,media,matching_texto
94001,cercarbono,Proyecto de Conservación UNU-MAI REDD+,2017.0,2046.0,media,matching_texto
15759,cercarbono,Sogamoso Hydroelectric Project,2023.0,2033.0,media,matching_texto
08001,cercarbono,Ciclo Combinado Termoflores IV,2017.0,2046.0,media,matching_texto
08001,cercarbono,Ciclo Combinado Termoflores IV,2017.0,2046.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,2018.0,2048.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,2018.0,2048.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,2023.0,2033.0,media,matching_texto
68081,cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",,,media,matching_texto
