COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
05656,SAN JERÓNIMO,ANTIOQUIA,13414.288346994115,12105.158432374214,9898.198404907413,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,13414.288346994115,,2026-09-20T17:41:03
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,10133.156138096569,9089.451353846442,6621.092525313995,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,10133.156138096569,,2026-09-20T17:41:03
05659,SAN JUAN DE URABÁ,ANTIOQUIA,16430.050330347945,14400.4224554736,10450.194356478896,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,16430.050330347945,,2026-09-20T17:41:03
05660,SAN LUIS,ANTIOQUIA,48873.43492251096,47662.7777162634,44974.60768501242,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,48873.43492251096,,2026-09-20T17:41:03
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,17971.47218044844,16620.18009911069,11986.702474724334,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,17971.47218044844,,2026-09-20T17:41:03
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,28110.02121955944,24719.90821975168,18198.549853685552,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,28110.02121955944,,2026-09-20T17:41:03
05667,SAN RAFAEL,ANTIOQUIA,33374.961703101755,31507.35139928231,28421.489504160312,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,33374.961703101755,,2026-09-20T17:41:03
05670,SAN ROQUE,ANTIOQUIA,35844.97966681787,32834.08737181527,27294.67538859056,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,35844.97966681787,42456.1233801735,2026-09-20T17:41:03
05674,SAN VICENTE FERRER,ANTIOQUIA,15179.27913098117,11352.464229596204,7382.861864911573,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,15179.27913098117,,2026-09-20T17:41:03
05679,SANTA BÁRBARA,ANTIOQUIA,15771.79434653476,13818.754232340492,11124.31590283394,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,15771.79434653476,,2026-09-20T17:41:03
05686,SANTA ROSA DE OSOS,ANTIOQUIA,62603.40983216885,53095.79194834054,34366.83634567064,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,62603.40983216885,,2026-09-20T17:41:03
05690,SANTO DOMINGO,ANTIOQUIA,23166.85166049152,20385.137829405863,16113.411342697476,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,23166.85166049152,,2026-09-20T17:41:03
05697,EL SANTUARIO,ANTIOQUIA,4777.996748239575,3790.649084249628,2512.408726796752,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,4777.996748239575,8352.828944724142,2026-09-20T17:41:03
