COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
05819,TOLEDO,ANTIOQUIA,11972.97,151377
05837,TURBO,ANTIOQUIA,213208.02,3292836
05842,URAMITA,ANTIOQUIA,23407.2,299206
05847,URRAO,ANTIOQUIA,230206.13999999998,2880401
05854,VALDIVIA,ANTIOQUIA,51225.75,639650
05856,VALPARAÍSO,ANTIOQUIA,9167.76,141721
05858,VEGACHÍ,ANTIOQUIA,49372.47,608989
05861,VENECIA,ANTIOQUIA,12337.56,161375
05873,VIGÍA DEL FUERTE,ANTIOQUIA,157780.16999999998,1866714
05885,YALÍ,ANTIOQUIA,40136.58,496439
05887,YARUMAL,ANTIOQUIA,61181.28,802387
05890,YOLOMBÓ,ANTIOQUIA,85338.36,1062714
05893,YONDÓ,ANTIOQUIA,143220.6,2134883
05895,ZARAGOZA,ANTIOQUIA,99771.84,1316491
08001,BARRANQUILLA,ATLÁNTICO,755.4599999999999,175625
08078,BARANOA,ATLÁNTICO,2530.62,138114
08137,CAMPO DE LA CRUZ,ATLÁNTICO,336.59999999999997,113675
08141,CANDELARIA,ATLÁNTICO,525.24,154363
08296,GALAPA,ATLÁNTICO,2236.5,111048
08372,JUAN DE ACOSTA,ATLÁNTICO,5557.23,191197
08421,LURUACO,ATLÁNTICO,8003.07,254410
08433,MALAMBO,ATLÁNTICO,1103.1299999999999,111474
08436,MANATÍ,ATLÁNTICO,2187.99,243540
08520,PALMAR DE VARELA,ATLÁNTICO,645.48,105043
08549,PIOJÓ,ATLÁNTICO,9473.31,298996
08558,POLONUEVO,ATLÁNTICO,344.52,84023
08560,PONEDERA,ATLÁNTICO,915.8399999999999,234896
08573,PUERTO COLOMBIA,ATLÁNTICO,1965.1499999999999,79034
08606,REPELÓN,ATLÁNTICO,10129.949999999999,410828
08634,SABANAGRANDE,ATLÁNTICO,178.92,49068
08638,SABANALARGA,ATLÁNTICO,4969.8,450262
08675,SANTA LUCÍA,ATLÁNTICO,388.53,65137
08685,SANTO TOMÁS,ATLÁNTICO,385.38,73974
08758,SOLEDAD,ATLÁNTICO,154.26,67599
08770,SUAN,ATLÁNTICO,306.71999999999997,48274
08832,TUBARÁ,ATLÁNTICO,10074.779999999999,208141
08849,USIACURÍ,ATLÁNTICO,3026.3399999999997,115333
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",38731.68,1819960
13001,CARTAGENA DE INDIAS,BOLÍVAR,18691.29,678787
13006,ACHÍ,BOLÍVAR,70796.34,1076355
13030,ALTOS DEL ROSARIO,BOLÍVAR,18956.88,343604
13042,ARENAL,BOLÍVAR,41893.11,522124
13052,ARJONA,BOLÍVAR,15399.9,666969
13062,ARROYOHONDO,BOLÍVAR,2576.3399999999997,186088
13074,BARRANCO DE LOBA,BOLÍVAR,26912.789999999997,487513
13140,CALAMAR,BOLÍVAR,5732.01,290126
13160,CANTAGALLO,BOLÍVAR,82690.02,993785
13188,CICUCO,BOLÍVAR,3191.58,150861
13212,CÓRDOBA,BOLÍVAR,19549.71,677182
13222,CLEMENCIA,BOLÍVAR,3435.48,97029
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,79034.84999999999,1073087
13248,EL GUAMO,BOLÍVAR,18005.04,435067
13268,EL PEÑÓN,BOLÍVAR,23230.62,360976
13300,HATILLO DE LOBA,BOLÍVAR,8182.259999999999,219929
13430,MAGANGUÉ,BOLÍVAR,33030.0,1279793
13433,MAHATES,BOLÍVAR,12442.59,490961
13440,MARGARITA,BOLÍVAR,13722.57,332474
13442,MARÍA LA BAJA,BOLÍVAR,27069.75,636954
13458,MONTECRISTO,BOLÍVAR,207639.81,2363418
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,25211.79,738564
13473,MORALES,BOLÍVAR,85841.28,1522783
13490,NOROSÍ,BOLÍVAR,39933.99,470832
13549,PINILLOS,BOLÍVAR,37558.979999999996,877742
13580,REGIDOR,BOLÍVAR,11501.279999999999,207537
13600,RÍO VIEJO,BOLÍVAR,70990.73999999999,955630
