category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,protocol_unassigned,registry,retired,status,vintage_start,vintage_end,credit_rows,startDate,endDate,fuente
forest,Colombia,,,False,0.0,,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,VCS2872,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2872,Multiple Proponents,['vm0007'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,2025-12-18 00:00:00+00:00,2025-12-18 00:00:00+00:00,False,2598.0,,Saving Colombia's Cloud Forest,VCS2750,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/2750,"Saving Nature, Inc.",['ar-acm0003'],,verra,2598.0,registered,2017.0,2022.0,20.0,2017.0,2022.0,carbonplan_offsetsdb
forest,Colombia,2023-09-29 00:00:00+00:00,2023-12-21 00:00:00+00:00,False,397194.0,,CONDOTO REDD+,VCS2723,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2723,Multiple Proponents,['vm0007'],,verra,370340.0,unknown,2019.0,2021.0,95.0,2019.0,2021.0,carbonplan_offsetsdb
forest,Colombia,2022-12-26 00:00:00+00:00,2023-03-24 00:00:00+00:00,False,1220754.0,,Cumare carbon project,VCS2532,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/2532,Reforestadora Cumare S.A.S.,['ar-acm0003'],,verra,291464.0,registered,2017.0,2023.0,61.0,2017.0,2023.0,carbonplan_offsetsdb
forest,Colombia,2022-06-20 00:00:00+00:00,2022-12-28 00:00:00+00:00,False,609543.0,,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",VCS2512,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/2512,Forest First Colombia S.A.S.,['ar-acm0003'],,verra,476254.0,registered,2017.0,2022.0,134.0,2017.0,2022.0,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,NAYA REDD+,VCS2459,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2459,Multiple Proponents,['vm0007'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD + in the Forests of the Otún River Basin,VCS2392,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2392,Empresa de Acueducto y Alcantarillado de Pereira S.A.S E.S. P,['vm0015'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,VCS2356,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2356,WeAct Pty Ltd.,['vm0015'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,VCS2330,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2330,WeAct Pty Ltd.,['vm0015'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,2024-03-08 00:00:00+00:00,2024-03-18 00:00:00+00:00,False,15431.0,,REDD+ Project Magnolios de Yarumal,VCS2317,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2317,Multiple Proponents,['vm0015'],,verra,9570.0,registered,2016.0,2020.0,24.0,2016.0,2020.0,carbonplan_offsetsdb
