COD_DANE,NOMBRE_MPI,DPTO_CNMBR,area_municipio_ha,bosque_base_ha,area_redd_ha,n_proyectos,anio_primer_proyecto,area_proyecto_max_ha,tratado,dosis_area_cruda,dosis_bosque_cruda,desborda_area,desborda_bosque,dosis_area,dosis_bosque,umbral_dosel,truncada,fecha_generacion
05660,SAN LUIS,ANTIOQUIA,51834.59561528616,49198.02076600894,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,23524.908379989643,18089.93352967573,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,60264.45345359669,28288.01849318892,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05667,SAN RAFAEL,ANTIOQUIA,36369.31421601433,33596.58170740494,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05670,SAN ROQUE,ANTIOQUIA,42456.1233801735,36079.25127345303,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05674,SAN VICENTE FERRER,ANTIOQUIA,23039.150207655894,15278.747515201092,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05679,SANTA BÁRBARA,ANTIOQUIA,19611.813820140444,15875.113201455491,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05686,SANTA ROSA DE OSOS,ANTIOQUIA,86446.42882633649,63017.58212194541,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05690,SANTO DOMINGO,ANTIOQUIA,26585.136289977425,23319.63345746732,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05697,EL SANTUARIO,ANTIOQUIA,8352.828944724142,4809.55515177735,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05736,SEGOVIA,ANTIOQUIA,113278.36106603115,108341.67350742844,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05756,SONSÓN,ANTIOQUIA,134561.03411394983,107465.13246046111,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05761,SOPETRÁN,ANTIOQUIA,21903.68149294326,18072.81187461511,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05789,TÁMESIS,ANTIOQUIA,25219.453670466257,16851.189483551803,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05790,TARAZÁ,ANTIOQUIA,114860.58438356774,94509.27996991332,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05792,TARSO,ANTIOQUIA,12046.673026948974,9003.290458750853,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05809,TITIRIBÍ,ANTIOQUIA,14032.860970394371,10290.015706257913,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05819,TOLEDO,ANTIOQUIA,13441.75498872325,11883.39264006307,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05837,TURBO,ANTIOQUIA,292324.2082232779,211120.8968906654,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
