clave,fuente,nombre_proyecto,COD_DANE,NOMBRE_MPI,clasificacion_sugerida,motivo_sugerencia,clasificacion_final,justificacion,clase_redd_sugerida,motivo_redd,clase_redd_final,justificacion_redd,sector__actividades,sector__afolu_activities,sector__clase_metodologia,sector__es_wrc,sector__estado_registro,sector__methodology,sector__programme_of_activities,sector__projectType,sector__sectoralScope,sector__status_registro,sector__tipo
"verra|bionersis landfill project in pasto, colombia",verra,"Bionersis landfill project in Pasto, Colombia",86757,SAN MIGUEL,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,ACM0001 (Version NA),,,Energy industries (renewable/non-renewable sources),Late to Verify,
verra|blue carbon project gulf of morrosquillo “vida manglar”,verra,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,23672,SAN ANTERO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Late to Verify,
verra|boomitra grassland restoration in colombia,verra,Boomitra grassland Restoration in Colombia,20295,GAMARRA,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ALM,AFOLU_NO_REDD,False,S1,VM0042 (Version NA),,,Agriculture Forestry and Other Land Use,Pipeline listing (under development) approved,
verra|cajambre redd+ project,verra,Cajambre REDD+ Project,76109,BUENAVENTURA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|carbon in flavor and arome forests (c-bosar),verra,Carbon In Flavor and Arome Forests (C-BOSAR),20570,PUEBLO BELLO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S3,AR-ACM0003 (Version 2),,,Agriculture Forestry and Other Land Use,Registered,
verra|carbono vivo- a regenerative livestock carbon project with a participatory approach in colombia,verra,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,50573,PUERTO LÓPEZ,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ALM,AFOLU_NO_REDD,False,S2,VM0042 (Version 2),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
verra|carmen del darien (cdd) redd+ project,verra,Carmen del Darién (CDD) REDD+ Project,27150,CARMEN DEL DARIÉN,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|caruquia 9.76 mw hydroelectric project,verra,Caruquia 9.76 MW Hydroelectric Project,05686,SANTA ROSA DE OSOS,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,AMS-I.D. (Version NA),,,Energy industries (renewable/non-renewable sources),Late to Verify,
verra|chonta corozo redd+,verra,CHONTA COROZO REDD+,19318,GUAPI,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Pipeline listing requested (under development),
verra|co2rozo,verra,CO2ROZO,08001,BARRANQUILLA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,"metodologia VCS: VM0007 (Version NA), VM0042 (Version NA)",REDD,,,"ALM,REDD,WRC",REDD_ESTRICTO,True,S1,"VM0007 (Version NA), VM0042 (Version NA)",,,Agriculture Forestry and Other Land Use,Pipeline listing (under development) approved,
"verra|cocomacia community redd+ program, choco/antioquia colombia",verra,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",27001,QUIBDÓ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,"metodologia VCS: VM0006 (Version NA), VM0048 (Version NA)",REDD,,,REDD,REDD_ESTRICTO,False,S1,"VM0006 (Version NA), VM0048 (Version NA)",,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
verra|concosta redd+ project,verra,Concosta REDD+ Project,27077,BAJO BAUDÓ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|condoto redd+,verra,CONDOTO REDD+,27205,CONDOTO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Verification approval requested,
"verra|consejos comunitarios del pacifico valle del cauca (ccpvc) programa redd+ valle del cauca, colombia",verra,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",76109,BUENAVENTURA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Pipeline listing (under development) approved,
verra|conservacion de los ecosistemas y el almacen de carbono region de transicion guayano amazonica 'flor de inirida',verra,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',94001,INÍRIDA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Withdrawn,
"verra|conservation project redd+ sur del meta bosques de paz, sustento de vida",verra,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",50590,PUERTO RICO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version 1.1),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0015 (Version 1.1),,,Agriculture Forestry and Other Land Use,Registered,
verra|crima predio putumayo y andoque de aduche redd+ project,verra,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,18756,SOLANO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Withdrawn,
verra|cumare carbon project,verra,Cumare carbon project,50689,SAN MARTÍN,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S3,AR-ACM0003 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|curva de rodas and la pradera landfill gas management project,verra,Curva de Rodas and La Pradera landfill gas management project,05212,COPACABANA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,ACM0001 (Version NA),,,Waste handling and disposal,Late to Verify,
verra|el estero biogas recovery and utilization,verra,El Estero biogas recovery and utilization,85139,MANÍ,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,AMS-III.H. (Version NA),,,"Energy industries (renewable/non-renewable sources), Waste handling and disposal",Under validation (Public comment period open),
verra|el molino-san matias hydroelectric projects,verra,El Molino-San Matias hydroelectric projects,05197,COCORNÁ,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,ACM0002 (Version 18.1),,,Energy industries (renewable/non-renewable sources),Verification approval requested,
verra|electric mobility program colombia,verra,Electric Mobility Program Colombia,50573,PUERTO LÓPEZ,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,VM0038 (Version 1),,,Transport,Registration requested,
verra|epm grouped natural gas project,verra,EPM Grouped Natural Gas Project,05615,RIONEGRO,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,ACM0009 (Version NA),,,"Energy industries (renewable/non-renewable sources), Manufacturing industries",Under validation (Public comment period closed),
verra|escuela de minas hydroelectric project,verra,Escuela de Minas Hydroelectric Project,05440,MARINILLA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version 17),,,Energy industries (renewable/non-renewable sources),Registered,
verra|finca la paz ii,verra,Finca la Paz II,99001,PUERTO CARREÑO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S2,VM0047 (Version NA),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
"verra|forestry project for the basin of the chinchina river, an environmental and productive alternative for the city and the region",verra,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",73043,ANZOÁTEGUI,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S2,AR-ACM0003 (Version 2),,,Agriculture Forestry and Other Land Use,Late to Verify,
verra|forestry project “more forests for medellin”,verra,Forestry Project “More Forests for Medellin”,05001,MEDELLÍN,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,,AFOLU_NO_REDD,False,S1,AR-ACM0003 (Version 2),,,Agriculture Forestry and Other Land Use,Withdrawn,
verra|green and carbon capture project,verra,Green and Carbon Capture project,47551,PIVIJAY,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S1,VM0047 (Version NA),,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
verra|grouped project for commercial forest plantations initiatives in the department of vichada,verra,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,99001,PUERTO CARREÑO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S3,AR-ACM0003 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
verra|grouped project for reducing emissions from deforestation and forest degradation-redd-in the regional natural park:biological corridor pnn purace-pnn cueva de los guacharos,verra,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,41668,SAN AGUSTÍN,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Verification approval requested,
"verra|grouped project for restoration of degraded lands in jaguar corridors, colombia",verra,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",68190,CIMITARRA,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,"IFM,REDD",AFOLU_NO_REDD,False,S2,"AR-ACM0003 (Version NA), VM0005 (Version NA)",,,Agriculture Forestry and Other Land Use,Late to Verify,
"verra|grouped project redd+ conservation of the oak ecological corridor guantiva – la rusia – iguaque, colombia",verra,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",68464,MOGOTES,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
verra|guachicono small hydroelectric project,verra,GUACHICONO SMALL HYDROELECTRIC PROJECT,19392,LA SIERRA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,AMS-I.D. (Version 18),,,Energy industries (renewable/non-renewable sources),Late to Verify,
verra|guanaquitas 9.74 mw hydroelectric project,verra,Guanaquitas 9.74 MW Hydroelectric Project,05686,SANTA ROSA DE OSOS,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,AMS-I.D. (Version NA),,,Energy industries (renewable/non-renewable sources),Late to Verify,
verra|hydroelectric project aures bajo,verra,Hydroelectric Project Aures Bajo,05756,SONSÓN,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Pipeline listing (under development) approved,
verra|hydroelectric project cantayus,verra,Hydroelectric Project Cantayus,05690,SANTO DOMINGO,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Pipeline listing (under development) approved,
verra|hydroelectric project el eden,verra,Hydroelectric Project El Edén,17541,PENSILVANIA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version 13),,,Energy industries (renewable/non-renewable sources),Registered,
verra|hydroelectric project ituango,verra,HYDROELECTRIC PROJECT ITUANGO,05107,BRICEÑO,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Registered,
verra|hydroelectric project mulatos ii,verra,Hydroelectric Project MULATOS II,05792,TARSO,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Registered,
verra|hydroelectric project pch luzma,verra,Hydroelectric Project PCH Luzma,05031,AMALFI,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Registered,
verra|hydroelectric projects at oibita river,verra,Hydroelectric projects at Oibita River,68500,OIBA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version 19),,,Energy industries (renewable/non-renewable sources),Registered,
verra|kuvay macaro vidi redd+ caruru -kumavi redd+,verra,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,97161,CARURÚ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,"metodologia VCS: VM0015 (Version NA), VM0037 (Version NA)",REDD,,,REDD,REDD_ESTRICTO,False,S1,"VM0015 (Version NA), VM0037 (Version NA)",,,Agriculture Forestry and Other Land Use,Inactive,
verra|la cascada 2.3 mw hydroelectric project,verra,La Cascada 2.3 MW Hydroelectric Project,05670,SAN ROQUE,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S2,ACM0002 (Version NA),,,Energy industries (renewable/non-renewable sources),Late to Verify,
verra|montanitas hydroelectric project,verra,Montanitas Hydroelectric Project,05237,DONMATÍAS,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S3,ACM0002 (Version 13),,,Energy industries (renewable/non-renewable sources),Registered,
verra|multimodal transport on the magdalena river by impala terminals,verra,Multimodal Transport on the Magdalena River by Impala Terminals,68081,BARRANCABERMEJA,NO_AFOLU,clase_metodologia: NO_AFOLU,NO_AFOLU,,NO_REDD,clase_metodologia: NO_AFOLU,NO_REDD,,,,NO_AFOLU,False,S1,AM0090 (Version NA),,,Transport,Pipeline listing requested (under development),
verra|mutata redd+ project,verra,Mutatá REDD+ Project,05480,MUTATÁ,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0006 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0006 (Version NA),,,Agriculture Forestry and Other Land Use,Registered,
"verra|musesi project for active restoration in areas of the sierra nevada santa marta, colombia",verra,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",47189,CIÉNAGA,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S1,VM0047 (Version NA),,,Agriculture Forestry and Other Land Use,Pipeline listing (under development) approved,
verra|natural silvopastoral systems in the colombian orinoquia region,verra,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,99524,LA PRIMAVERA,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ALM,AFOLU_NO_REDD,False,S1,VM0042 (Version NA),,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
"verra|naturere assisted natural regeneration project in degraded lands in antioquia, colombia",verra,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",05579,PUERTO BERRÍO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S2,AR-ACM0003 (Version NA),,,Agriculture Forestry and Other Land Use,Verification approval requested,
verra|naya redd+,verra,NAYA REDD+,19418,LÓPEZ DE MICAY,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,"REDD,WRC",REDD_ESTRICTO,True,S1,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Rejected by Administrator,
verra|origen atrato-baudo redd+ project,verra,Origen Atrato-Baudó REDD+ Project,27600,RÍO QUITO,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0009 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0009 (Version NA),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
verra|payment for environmental services scheme for forest management and conservation of water sources in the jurisdiction of corpochivor,verra,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,15236,CHIVOR,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version 1.1),REDD,,,REDD,REDD_ESTRICTO,False,S3,VM0015 (Version 1.1),,,Agriculture Forestry and Other Land Use,Registered,
verra|project matani redd+ dios mayor de los pueblos cabillari,verra,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,97511,PACOA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Rejected by Administrator,
verra|project matani redd+ dios mayor de los pueblos cabillari conservacion ancestral,verra,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,97511,PACOA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Withdrawn,
"verra|project uramia – community-led forest conservation redd+ project in choco, colombia",verra,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",27361,ISTMINA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0048 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0048 (Version NA),,,Agriculture Forestry and Other Land Use,Under validation (Public comment period closed),
verra|protection of mangroves and community developmental activities in the biodiversity hotspot of colombia,verra,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,27800,UNGUÍA,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Registration requested,
verra|proyecto redd++ pani,verra,Proyecto REDD++ PANI,91669,PUERTO SANTANDER,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0007 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S2,VM0007 (Version NA),,,Agriculture Forestry and Other Land Use,Registration and verification approval requested,
verra|recovery of degraded areas with agroforestry systems in colombia,verra,Recovery of degraded areas with agroforestry systems in Colombia,05837,TURBO,AFOLU,clase_metodologia: AFOLU_NO_REDD,AFOLU,,NO_REDD,clase_metodologia: AFOLU_NO_REDD,NO_REDD,,,ARR,AFOLU_NO_REDD,False,S2,AR-ACM0003 (Version NA),,,Agriculture Forestry and Other Land Use,Late to Verify,
verra|redd + in the forests of the otun river basin,verra,REDD + in the Forests of the Otún River Basin,66682,SANTA ROSA DE CABAL,AFOLU,clase_metodologia: REDD_ESTRICTO,AFOLU,,REDD,metodologia VCS: VM0015 (Version NA),REDD,,,REDD,REDD_ESTRICTO,False,S1,VM0015 (Version NA),,,Agriculture Forestry and Other Land Use,Withdrawn,
