COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
19455,MIRANDA,CAUCA,94,8.46
19473,MORALES,CAUCA,22,1.98
19513,PADILLA,CAUCA,1024,92.16
19517,PÁEZ,CAUCA,892,80.28
19532,PATÍA,CAUCA,180,16.2
19533,PIAMONTE,CAUCA,1446,130.14
19548,PIENDAMÓ - TUNÍA,CAUCA,2024,182.16
19573,PUERTO TEJADA,CAUCA,206,18.54
19585,PURACÉ,CAUCA,614,55.26
19622,ROSAS,CAUCA,83,7.47
19693,SAN SEBASTIÁN,CAUCA,28,2.52
19698,SANTANDER DE QUILICHAO,CAUCA,32,2.88
19701,SANTA ROSA,CAUCA,41,3.69
19743,SILVIA,CAUCA,53,4.77
19760,SOTARÁ PAISPAMBA,CAUCA,42,3.78
19780,SUÁREZ,CAUCA,23,2.07
19785,SUCRE,CAUCA,2871,258.39
19807,TIMBÍO,CAUCA,458,41.22
19809,TIMBIQUÍ,CAUCA,73,6.569999999999999
19821,TORIBÍO,CAUCA,35,3.15
19824,TOTORÓ,CAUCA,28,2.52
19845,VILLA RICA,CAUCA,1098,98.82
20001,VALLEDUPAR,CESAR,29,2.61
20011,AGUACHICA,CESAR,267,24.03
20013,AGUSTÍN CODAZZI,CESAR,13,1.17
20032,ASTREA,CESAR,96,8.64
20045,BECERRIL,CESAR,4982,448.38
20060,BOSCONIA,CESAR,406,36.540000000000006
20175,CHIMICHAGUA,CESAR,3899,350.90999999999997
20178,CHIRIGUANÁ,CESAR,1059,95.31
20228,CURUMANÍ,CESAR,42,3.7799999999999994
20238,EL COPEY,CESAR,17985,1618.6499999999999
20250,EL PASO,CESAR,1054,94.86
20295,GAMARRA,CESAR,549,49.41
20310,GONZÁLEZ,CESAR,21,1.8900000000000001
20383,LA GLORIA,CESAR,105,9.45
20400,LA JAGUA DE IBIRICO,CESAR,498,44.82
23660,SAHAGÚN,CÓRDOBA,1596,143.64
23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,140,12.6
23672,SAN ANTERO,CÓRDOBA,474,42.66
23675,SAN BERNARDO DEL VIENTO,CÓRDOBA,1933,173.97
23678,SAN CARLOS,CÓRDOBA,3595,323.55
23682,SAN JOSÉ DE URÉ,CÓRDOBA,5532,497.88
23686,SAN PELAYO,CÓRDOBA,6983,628.47
23807,TIERRALTA,CÓRDOBA,2822,253.98
23815,TUCHÍN,CÓRDOBA,134,12.059999999999999
23855,VALENCIA,CÓRDOBA,2157,194.13
25001,AGUA DE DIOS,CUNDINAMARCA,1192,107.28
25019,ALBÁN,CUNDINAMARCA,496,44.64
25035,ANAPOIMA,CUNDINAMARCA,859,77.31
25040,ANOLAIMA,CUNDINAMARCA,85,7.65
25053,ARBELÁEZ,CUNDINAMARCA,77,6.93
25086,BELTRÁN,CUNDINAMARCA,725,65.25
25095,BITUIMA,CUNDINAMARCA,159,14.309999999999999
25099,BOJACÁ,CUNDINAMARCA,2512,226.07999999999998
25120,CABRERA,CUNDINAMARCA,1517,136.53
25123,CACHIPAY,CUNDINAMARCA,432,38.879999999999995
25126,CAJICÁ,CUNDINAMARCA,2004,180.35999999999999
25148,CAPARRAPÍ,CUNDINAMARCA,4066,365.94
25151,CÁQUEZA,CUNDINAMARCA,3253,292.77
25154,CARMEN DE CARUPA,CUNDINAMARCA,7156,644.04
25168,CHAGUANÍ,CUNDINAMARCA,11603,1044.27
25175,CHÍA,CUNDINAMARCA,4968,447.12
25178,CHIPAQUE,CUNDINAMARCA,1280,115.19999999999999
25181,CHOACHÍ,CUNDINAMARCA,2375,213.75
25183,CHOCONTÁ,CUNDINAMARCA,82,7.38
25200,COGUA,CUNDINAMARCA,332,29.879999999999995
25214,COTA,CUNDINAMARCA,269,24.21
25224,CUCUNUBÁ,CUNDINAMARCA,6483,583.47
25245,EL COLEGIO,CUNDINAMARCA,73,6.57
25258,EL PEÑÓN,CUNDINAMARCA,215,19.349999999999998
25260,EL ROSAL,CUNDINAMARCA,360,32.4
25269,FACATATIVÁ,CUNDINAMARCA,21,1.89
25279,FÓMEQUE,CUNDINAMARCA,60,5.3999999999999995
25281,FOSCA,CUNDINAMARCA,47,4.23
25286,FUNZA,CUNDINAMARCA,2856,257.04
25288,FÚQUENE,CUNDINAMARCA,22,1.98
25290,FUSAGASUGÁ,CUNDINAMARCA,5753,517.77
25293,GACHALÁ,CUNDINAMARCA,278,25.02
25295,GACHANCIPÁ,CUNDINAMARCA,368,33.12
25297,GACHETÁ,CUNDINAMARCA,198,17.82
25299,GAMA,CUNDINAMARCA,538,48.42
25307,GIRARDOT,CUNDINAMARCA,243,21.87
25312,GRANADA,CUNDINAMARCA,96,8.639999999999999
25317,GUACHETÁ,CUNDINAMARCA,60,5.4
25320,GUADUAS,CUNDINAMARCA,54,4.859999999999999
25322,GUASCA,CUNDINAMARCA,11,0.99
25324,GUATAQUÍ,CUNDINAMARCA,3092,278.28
25326,GUATAVITA,CUNDINAMARCA,135,12.15
25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,44,3.96
25335,GUAYABETAL,CUNDINAMARCA,59,5.31
25339,GUTIÉRREZ,CUNDINAMARCA,407,36.63
25368,JERUSALÉN,CUNDINAMARCA,79,7.109999999999999
25372,JUNÍN,CUNDINAMARCA,140,12.6
25377,LA CALERA,CUNDINAMARCA,153,13.769999999999998
25386,LA MESA,CUNDINAMARCA,385,34.65
25394,LA PALMA,CUNDINAMARCA,602,54.18
25398,LA PEÑA,CUNDINAMARCA,24,2.16
25402,LA VEGA,CUNDINAMARCA,2641,237.69
25407,LENGUAZAQUE,CUNDINAMARCA,576,51.839999999999996
25426,MACHETÁ,CUNDINAMARCA,9750,877.5
25430,MADRID,CUNDINAMARCA,2225,200.25
25436,MANTA,CUNDINAMARCA,122,10.98
25438,MEDINA,CUNDINAMARCA,230,20.7
25473,MOSQUERA,CUNDINAMARCA,236,21.24
25483,NARIÑO,CUNDINAMARCA,649,58.41
25486,NEMOCÓN,CUNDINAMARCA,7609,684.81
25777,SUPATÁ,CUNDINAMARCA,3284,295.56
25779,SUSA,CUNDINAMARCA,620,55.8
25781,SUTATAUSA,CUNDINAMARCA,616,55.44
25785,TABIO,CUNDINAMARCA,972,87.47999999999999
25793,TAUSA,CUNDINAMARCA,1263,113.67
25797,TENA,CUNDINAMARCA,642,57.779999999999994
25799,TENJO,CUNDINAMARCA,1694,152.45999999999998
25805,TIBACUY,CUNDINAMARCA,1207,108.63
25807,TIBIRITA,CUNDINAMARCA,5493,494.37
25815,TOCAIMA,CUNDINAMARCA,373,33.57
25817,TOCANCIPÁ,CUNDINAMARCA,335,30.15
25823,TOPAIPÍ,CUNDINAMARCA,576,51.839999999999996
25839,UBALÁ,CUNDINAMARCA,215,19.349999999999998
25841,UBAQUE,CUNDINAMARCA,815,73.35
25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,1128,101.52
25845,UNE,CUNDINAMARCA,203,18.27
25851,ÚTICA,CUNDINAMARCA,393,35.37
25862,VERGARA,CUNDINAMARCA,84,7.56
25867,VIANÍ,CUNDINAMARCA,306,27.54
25871,VILLAGÓMEZ,CUNDINAMARCA,437,39.33
25873,VILLAPINZÓN,CUNDINAMARCA,1871,168.39
25875,VILLETA,CUNDINAMARCA,1460,131.4
25878,VIOTÁ,CUNDINAMARCA,1496,134.64
25885,YACOPÍ,CUNDINAMARCA,2977,267.93
25898,ZIPACÓN,CUNDINAMARCA,859,77.31
25899,ZIPAQUIRÁ,CUNDINAMARCA,416,37.44
27001,QUIBDÓ,CHOCÓ,388,34.92
27006,ACANDÍ,CHOCÓ,631,56.79
27025,ALTO BAUDÓ,CHOCÓ,721,64.89
27050,ATRATO,CHOCÓ,2296,206.64
27073,BAGADÓ,CHOCÓ,4966,446.94
27075,BAHÍA SOLANO,CHOCÓ,14334,1290.06
27077,BAJO BAUDÓ,CHOCÓ,2413,217.17
27099,BOJAYÁ,CHOCÓ,592,53.28
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,1420,127.8
27150,CARMEN DEL DARIÉN,CHOCÓ,28,2.52
27160,CÉRTEGUI,CHOCÓ,43,3.87
27205,CONDOTO,CHOCÓ,1390,125.1
27245,EL CARMEN DE ATRATO,CHOCÓ,17382,1564.38
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,88,7.92
27361,ISTMINA,CHOCÓ,451,40.589999999999996
