Project ID,Project Name,COD_DANE,start_year,source
VCS1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,15236,2015.0,berkeley_vrod
VCS1765,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,19585,,berkeley_vrod
VCS1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",41206,2015.0,berkeley_vrod
VCS1796,Santa Rosa - Altamira hydroelectric projects,13683,,berkeley_vrod
VCS1796,Santa Rosa - Altamira hydroelectric projects,41026,,berkeley_vrod
VCS1796,Santa Rosa - Altamira hydroelectric projects,19701,,berkeley_vrod
VCS1797,El Molino-San Matias hydroelectric projects,44110,2017.0,berkeley_vrod
VCS1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',94001,,berkeley_vrod
VCS1869,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",68533,,berkeley_vrod
VCS1909,Santa Ana Hydroelectric Plant - CER Conversion,47707,2015.0,berkeley_vrod
VCS1910,"Bionersis landfill project in Pasto, Colombia",41206,2011.0,berkeley_vrod
VCS1910,"Bionersis landfill project in Pasto, Colombia",52001,2011.0,berkeley_vrod
VCS1936,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,41206,,berkeley_vrod
VCS2071,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",41206,,berkeley_vrod
VCS2262,REDD+ Yaguara Llanos del Yari,41885,,berkeley_vrod
VCS2298,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",41206,,berkeley_vrod
VCS2317,REDD+ Project Magnolios de Yarumal,05887,2016.0,berkeley_vrod
VCS2330,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,41206,,berkeley_vrod
