COD_DANE,tratado_panel,cohorte_panel,NOMBRE_MPI,DPTO_CNMBR,n_proyectos,area_redd_ha,area_municipio_ha,bosque_base_ha,dosis_area_cruda,dosis_bosque_cruda,dosis_area,dosis_bosque,desborda_area,desborda_bosque,tiene_dosis,tercil_dosis,cohorte,definicion_tratamiento
99773,1,2013.0,CUMARIBO,VICHADA,1.0,1150212.0,6531928.516006772,4211199.936313488,0.1760907207084945,0.2731316530667749,0.1760907207084945,0.2731316530667749,0.0,0.0,1,bajo,2013.0,original
50590,1,2019.0,PUERTO RICO,META,1.0,77612.0,340571.6719176085,257368.82655848612,0.2278874210617728,0.3015594430678377,0.2278874210617728,0.3015594430678377,0.0,0.0,1,bajo,2019.0,original
18756,1,2018.0,SOLANO,CAQUETÁ,1.0,1260222.0,4223352.504312283,4174101.4671288487,0.2983937520520112,0.3019145581208984,0.2983937520520112,0.3019145581208984,0.0,0.0,1,bajo,2018.0,original
27006,1,2010.0,ACANDÍ,CHOCÓ,2.0,23898.0,79805.66695613877,69667.91482518586,0.299452418750342,0.3430273470932212,0.299452418750342,0.3430273470932212,0.0,0.0,1,bajo,2010.0,original
27430,1,2014.0,MEDIO BAUDÓ,CHOCÓ,1.0,48177.0,137294.56925766732,136294.3960878544,0.3509024447251362,0.3534774824413577,0.3509024447251362,0.3534774824413577,0.0,0.0,1,bajo,2014.0,original
05480,1,2013.0,MUTATÁ,ANTIOQUIA,1.0,34288.0,107502.10946440548,96118.42993227192,0.3189518807661438,0.3567265926436835,0.3189518807661438,0.3567265926436835,0.0,0.0,1,medio,2013.0,original
27150,1,2014.0,CARMEN DEL DARIÉN,CHOCÓ,1.0,118318.0,336951.595502794,320842.2847819821,0.3511424239539441,0.3687730876259005,0.3511424239539441,0.3687730876259005,0.0,0.0,1,medio,2014.0,original
19318,1,2017.0,GUAPI,CAUCA,1.0,93142.0,257088.6696652069,251560.01166420465,0.362295235030365,0.3702575754541257,0.362295235030365,0.3702575754541257,0.0,0.0,1,medio,2017.0,original
05134,1,2016.0,CAMPAMENTO,ANTIOQUIA,1.0,7593.0,23208.52357035644,20199.67507326769,0.3271642841468086,0.3758971355954433,0.3271642841468086,0.3758971355954433,0.0,0.0,1,medio,2016.0,original
97161,1,2017.0,CARURÚ,VAUPÉS,1.0,289518.0,634903.7264508622,624564.4992487181,0.4560029937427166,0.4635518034538595,0.4560029937427166,0.4635518034538595,0.0,0.0,1,medio,2017.0,original
27077,1,2013.0,BAJO BAUDÓ,CHOCÓ,3.0,162091.0,348211.93709699664,338223.1055205446,0.4654952422117813,0.4792428351414157,0.4654952422117813,0.4792428351414157,0.0,0.0,1,medio,2013.0,original
27025,1,2018.0,ALTO BAUDÓ,CHOCÓ,1.0,98683.0,205188.2492363485,204107.22260513253,0.4809388469723274,0.4834860753110777,0.4809388469723274,0.4834860753110777,0.0,0.0,1,medio,2018.0,original
27615,1,2019.0,RIOSUCIO,CHOCÓ,1.0,313082.0,613961.5574594612,598040.8484528967,0.5099374646443923,0.523512734639997,0.5099374646443923,0.523512734639997,0.0,0.0,1,medio,2019.0,original
19418,1,2015.0,LÓPEZ DE MICAY,CAUCA,1.0,178483.0,337043.10758856614,330568.3466087136,0.5295554069536916,0.5399276785906738,0.5295554069536916,0.5399276785906738,0.0,0.0,1,medio,2015.0,original
27800,1,2018.0,UNGUÍA,CHOCÓ,1.0,64000.0,119116.01393062215,97202.95916649404,0.5372913169951784,0.6584161691042516,0.5372913169951784,0.6584161691042516,0.0,0.0,1,medio,2018.0,original
97001,1,2017.0,MITÚ,VAUPÉS,3.0,1329530.0,1615641.9019958614,1612656.9563105633,0.82291131367513,0.8244344804996215,0.82291131367513,0.8244344804996215,0.0,0.0,1,medio,2017.0,original
05756,1,2014.0,SONSÓN,ANTIOQUIA,,,,,,,,,,,0,,2014.0,original
19585,1,2014.0,PURACÉ,CAUCA,,,,,,,,,,,0,,2014.0,original
27050,1,2018.0,ATRATO,CHOCÓ,,,,,,,,,,,0,,2018.0,original
27135,1,2015.0,EL CANTÓN DEL SAN PABLO,CHOCÓ,,,,,,,,,,,0,,2015.0,original
27160,1,2015.0,CÉRTEGUI,CHOCÓ,,,,,,,,,,,0,,2015.0,original
27372,1,2016.0,JURADÓ,CHOCÓ,,,,,,,,,,,0,,2016.0,original
27413,1,2015.0,LLORÓ,CHOCÓ,,,,,,,,,,,0,,2015.0,original
27491,1,2016.0,NÓVITA,CHOCÓ,,,,,,,,,,,0,,2016.0,original
27493,1,2020.0,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,,,,,,,,,,,0,,2020.0,original
52250,1,2015.0,EL CHARCO,NARIÑO,,,,,,,,,,,0,,2015.0,original
68464,1,2015.0,MOGOTES,SANTANDER,,,,,,,,,,,0,,2015.0,original
94888,1,2010.0,MORICHAL,GUAINÍA,,,,,,,,,,,0,,2010.0,original
95001,1,2018.0,SAN JOSÉ DEL GUAVIARE,GUAVIARE,,,,,,,,,,,0,,2018.0,original
95025,1,2016.0,EL RETORNO,GUAVIARE,,,,,,,,,,,0,,2016.0,original
