COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos
15466,MONGUÍ,BOYACÁ,1799.2886177224914,1218.9385395023355,697.8014546687349,
15469,MONIQUIRÁ,BOYACÁ,18428.543588234024,16180.293953125658,11948.643239688889,
15476,MOTAVITA,BOYACÁ,430.5576568111165,318.285169264323,164.3897847449686,
15480,MUZO,BOYACÁ,12053.468728263577,11263.48225346462,9717.02036660134,
15491,NOBSA,BOYACÁ,2605.477001069007,2206.6793443669767,1497.7998786434157,
15494,NUEVO COLÓN,BOYACÁ,1096.3681633234776,778.3607062071334,401.7223589405491,
15500,OICATÁ,BOYACÁ,339.0879251947392,246.13165136194613,154.7339500505034,
15507,OTANCHE,BOYACÁ,44533.21554053319,43423.985020529646,40506.037979025255,
15511,PACHAVITA,BOYACÁ,1858.345437566785,1145.5212037573228,570.5052028609454,
15514,PÁEZ,BOYACÁ,26645.802109320804,23933.73845818468,19396.30719570063,
15516,PAIPA,BOYACÁ,14267.30752939966,12308.014136823447,9568.095956345687,
15518,PAJARITO,BOYACÁ,26802.64272073064,25111.593904624,22357.554290085867,
15522,PANQUEBA,BOYACÁ,2185.995421701707,1688.5284879393291,928.8194685080794,
15531,PAUNA,BOYACÁ,22165.60486825152,21017.370617685527,18169.90579167192,
15533,PAYA,BOYACÁ,33004.27751670822,29708.435192840898,25928.34383697369,
15537,PAZ DE RÍO,BOYACÁ,5512.393055894768,4361.384341879321,2358.4567278205177,
15542,PESCA,BOYACÁ,8962.717084358508,7400.408650112617,5225.655209082177,
15550,PISBA,BOYACÁ,41106.4920055444,38629.40775037323,35185.41241342838,
15572,PUERTO BOYACÁ,BOYACÁ,76005.34059886949,65220.79996879416,49600.64039433389,
15580,QUÍPAMA,BOYACÁ,14909.029414399096,14149.549784359147,12322.157673477552,
15599,RAMIRIQUÍ,BOYACÁ,5609.7917140221925,4508.543994681842,2987.79980770527,
15600,RÁQUIRA,BOYACÁ,9380.22021022586,7294.147382174397,4513.670646259171,
15621,RONDÓN,BOYACÁ,13479.848835789631,11459.642354179694,7773.726143101199,
15632,SABOYÁ,BOYACÁ,9976.52541438975,7549.520723373855,4412.863509647387,
15638,SÁCHICA,BOYACÁ,205.0962045426432,102.98140950508872,48.57395253645353,
15646,SAMACÁ,BOYACÁ,4880.953294599883,3902.5935438833935,2236.642848409904,
15660,SAN EDUARDO,BOYACÁ,8032.018032163802,6867.75577064065,5221.183646358258,
15664,SAN JOSÉ DE PARE,BOYACÁ,6549.079963129931,5471.257506142806,3690.026625648336,
15667,SAN LUIS DE GACENO,BOYACÁ,26283.34056628081,21969.8446051417,15797.073385198328,
15673,SAN MATEO,BOYACÁ,9313.646017925892,7672.04905082639,5204.725205991537,
15676,SAN MIGUEL DE SEMA,BOYACÁ,6191.5736833324445,5348.279773539935,2754.971605465931,
15681,SAN PABLO DE BORBUR,BOYACÁ,17373.71913832246,16435.190547679795,14238.06711064041,
15686,SANTANA,BOYACÁ,6253.673113921822,5053.60316473941,3188.935307525625,
15690,SANTA MARÍA,BOYACÁ,24000.65227417509,21851.679315382786,17583.15228098007,
15693,SANTA ROSA DE VITERBO,BOYACÁ,4201.505479202627,3402.4737989036034,2236.8241785432497,
15696,SANTA SOFÍA,BOYACÁ,2437.4587130729683,1686.6630599172067,986.8899690403828,
15720,SATIVANORTE,BOYACÁ,4798.342007950801,3157.0557505757897,1549.1435514182922,
15723,SATIVASUR,BOYACÁ,1494.8598323684037,1063.027693273642,574.6546249956924,
15740,SIACHOQUE,BOYACÁ,1129.876859863877,756.008071019407,363.0893007808912,
15753,SOATÁ,BOYACÁ,4357.278523068214,3304.950193613449,2042.550680519501,
15755,SOCOTÁ,BOYACÁ,36576.273538342495,29391.88842343681,20305.578471928697,
15757,SOCHA,BOYACÁ,6020.74198961406,4129.100932280171,2289.9663915787287,
15759,SOGAMOSO,BOYACÁ,4378.552875612519,3293.4909714082937,2201.453737213087,
15761,SOMONDOCO,BOYACÁ,3951.651711175903,3113.862245641825,1896.0327957821848,
15762,SORA,BOYACÁ,229.9510585842713,176.12473594716994,112.27577982115524,
