COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
27006,ACANDÍ,CHOCÓ,69667.91482518586,782553,68203.32319455734,65063.40409305704,local:Colombia_treecover2000.tif,Colombia_treecover2000,69667.91482518586,79805.66695613877,2026-09-20T09:50:08
27025,ALTO BAUDÓ,CHOCÓ,204107.22260513253,2278894,203782.67913296557,202624.3339900195,local:Colombia_treecover2000.tif,Colombia_treecover2000,204107.22260513253,205188.24923634852,2026-09-20T09:50:08
27050,ATRATO,CHOCÓ,41189.21686366876,459822,40943.332446753964,40242.22446083123,local:Colombia_treecover2000.tif,Colombia_treecover2000,41189.21686366876,42177.390938435055,2026-09-20T09:50:08
27073,BAGADÓ,CHOCÓ,80151.65313918635,894699,79609.50619295746,77066.0518823918,local:Colombia_treecover2000.tif,Colombia_treecover2000,80151.65313918635,80756.87377168724,2026-09-20T09:50:08
27075,BAHÍA SOLANO,CHOCÓ,88937.7746908484,994189,88762.68767940818,88182.2353000191,local:Colombia_treecover2000.tif,Colombia_treecover2000,88937.7746908484,89604.56098677525,2026-09-20T09:50:08
27077,BAJO BAUDÓ,CHOCÓ,338223.1055205446,3772508,337721.47281938733,335752.72630034346,local:Colombia_treecover2000.tif,Colombia_treecover2000,338223.1055205446,348211.93709699664,2026-09-20T09:50:08
27099,BOJAYÁ,CHOCÓ,359238.08825337986,4017170,358856.6206051655,357504.2498453465,local:Colombia_treecover2000.tif,Colombia_treecover2000,359238.08825337986,363320.60794109554,2026-09-20T09:50:08
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,37536.567163539,418905,37374.013911163434,36851.50248831556,local:Colombia_treecover2000.tif,Colombia_treecover2000,37536.567163539,38069.3655520863,2026-09-20T09:50:08
27150,CARMEN DEL DARIÉN,CHOCÓ,320842.2847819821,3592040,318960.37794176623,314595.31663357106,local:Colombia_treecover2000.tif,Colombia_treecover2000,320842.2847819821,336951.59550279396,2026-09-20T09:50:08
27160,CÉRTEGUI,CHOCÓ,42054.64633183545,469349,41937.000071187234,41559.59834091826,local:Colombia_treecover2000.tif,Colombia_treecover2000,42054.64633183545,42351.123747518795,2026-09-20T09:50:08
27205,CONDOTO,CHOCÓ,45650.78041676434,509226,45233.564008404224,44092.1918453747,local:Colombia_treecover2000.tif,Colombia_treecover2000,45650.78041676434,46788.62218438783,2026-09-20T09:50:08
27245,EL CARMEN DE ATRATO,CHOCÓ,77857.31326648575,869546,75486.09828979606,68862.51605039275,local:Colombia_treecover2000.tif,Colombia_treecover2000,77857.31326648575,83029.3812652232,2026-09-20T09:50:08
