timestamp,status,current,total,checkpoint_rows,latest_line
2026-04-12 19:54:49,RUNNING,149,1122,26928,"Processing municipality 149/1122: SORAC� (15764)"
2026-04-12 19:58:25,RUNNING,151,1122,26928,Processing municipality 151/1122: SUTAMARCH�N (15776)
2026-04-12 19:59:26,RUNNING,152,1122,26928,Processing municipality 152/1122: SUTATENZA (15778)
2026-04-12 20:00:27,RUNNING,152,1122,26928,Processing municipality 152/1122: SUTATENZA (15778)
2026-04-12 20:01:28,RUNNING,153,1122,26928,Processing municipality 153/1122: TASCO (15790)
2026-04-13 08:46:32,RUNNING,,,26928,
2026-04-13 08:47:33,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 08:48:34,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 08:49:34,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 08:50:35,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 08:51:36,RUNNING,2,1122,26928,Processing municipality 2/1122: CARTAGENA DE INDIAS (13001)
2026-04-13 08:52:36,RUNNING,2,1122,26928,Processing municipality 2/1122: CARTAGENA DE INDIAS (13001)
2026-04-13 08:53:37,RUNNING,2,1122,26928,Processing municipality 2/1122: CARTAGENA DE INDIAS (13001)
2026-04-13 08:54:37,RUNNING,2,1122,26928,Processing municipality 2/1122: CARTAGENA DE INDIAS (13001)
2026-04-13 08:55:38,RUNNING,2,1122,26928,Processing municipality 2/1122: CARTAGENA DE INDIAS (13001)
2026-04-13 08:56:38,RUNNING,3,1122,26928,Processing municipality 3/1122: ACH� (13006)
2026-04-13 08:57:39,RUNNING,3,1122,26928,Processing municipality 3/1122: ACH� (13006)
2026-04-13 08:58:39,RUNNING,4,1122,26928,Processing municipality 4/1122: ALTOS DEL ROSARIO (13030)
2026-04-13 08:59:45,RUNNING,5,1122,26928,Processing municipality 5/1122: ARENAL (13042)
2026-04-13 09:00:46,RUNNING,5,1122,26928,Processing municipality 5/1122: ARENAL (13042)
2026-04-13 09:01:46,RUNNING,6,1122,26928,Processing municipality 6/1122: ARJONA (13052)
2026-04-13 09:02:47,RUNNING,7,1122,26928,Processing municipality 7/1122: ARROYOHONDO (13062)
2026-04-13 09:03:47,RUNNING,7,1122,26928,Processing municipality 7/1122: ARROYOHONDO (13062)
2026-04-13 09:04:48,RUNNING,8,1122,26928,Processing municipality 8/1122: BARRANCO DE LOBA (13074)
2026-04-13 09:05:48,RUNNING,8,1122,26928,Processing municipality 8/1122: BARRANCO DE LOBA (13074)
2026-04-13 09:06:49,RUNNING,9,1122,26928,Processing municipality 9/1122: CALAMAR (13140)
2026-04-13 09:07:49,RUNNING,9,1122,26928,Processing municipality 9/1122: CALAMAR (13140)
2026-04-13 09:08:50,RUNNING,10,1122,26928,Processing municipality 10/1122: CANTAGALLO (13160)
2026-04-13 09:09:50,RUNNING,10,1122,26928,Processing municipality 10/1122: CANTAGALLO (13160)
2026-04-13 09:10:51,RUNNING,11,1122,26928,Processing municipality 11/1122: CICUCO (13188)
2026-04-13 09:11:51,RUNNING,12,1122,26928,Processing municipality 12/1122: C�RDOBA (13212)
2026-04-13 09:12:52,RUNNING,12,1122,26928,Processing municipality 12/1122: C�RDOBA (13212)
2026-04-13 09:13:53,RUNNING,13,1122,26928,Processing municipality 13/1122: CLEMENCIA (13222)
2026-04-13 09:14:53,RUNNING,14,1122,26928,Processing municipality 14/1122: EL CARMEN DE BOL�VAR (13244)
2026-04-13 09:15:54,RUNNING,14,1122,26928,Processing municipality 14/1122: EL CARMEN DE BOL�VAR (13244)
2026-04-13 09:16:54,RUNNING,15,1122,26928,Processing municipality 15/1122: EL GUAMO (13248)
2026-04-13 09:17:55,RUNNING,15,1122,26928,Processing municipality 15/1122: EL GUAMO (13248)
2026-04-13 09:18:55,RUNNING,16,1122,26928,Processing municipality 16/1122: EL PE��N (13268)
2026-04-13 09:19:56,RUNNING,16,1122,26928,Processing municipality 16/1122: EL PE��N (13268)
2026-04-13 09:20:56,RUNNING,17,1122,26928,Processing municipality 17/1122: HATILLO DE LOBA (13300)
2026-04-13 09:21:57,RUNNING,18,1122,26928,Processing municipality 18/1122: MAGANGU� (13430)
2026-04-13 09:22:57,RUNNING,19,1122,26928,Processing municipality 19/1122: MAHATES (13433)
2026-04-13 09:23:58,RUNNING,19,1122,26928,Processing municipality 19/1122: MAHATES (13433)
2026-04-13 09:24:58,RUNNING,20,1122,26928,Processing municipality 20/1122: MARGARITA (13440)
2026-04-13 09:25:59,RUNNING,20,1122,26928,Processing municipality 20/1122: MARGARITA (13440)
2026-04-13 09:26:59,RUNNING,21,1122,26928,Processing municipality 21/1122: MAR�A LA BAJA (13442)
2026-04-13 09:28:00,RUNNING,22,1122,26928,Processing municipality 22/1122: MONTECRISTO (13458)
2026-04-13 09:29:00,RUNNING,22,1122,26928,Processing municipality 22/1122: MONTECRISTO (13458)
2026-04-13 09:30:01,RUNNING,23,1122,26928,Processing municipality 23/1122: SANTA CRUZ DE MOMPOX (13468)
2026-04-13 09:31:01,RUNNING,23,1122,26928,Processing municipality 23/1122: SANTA CRUZ DE MOMPOX (13468)
2026-04-13 09:32:02,RUNNING,24,1122,26928,Processing municipality 24/1122: MORALES (13473)
2026-04-13 09:33:02,RUNNING,25,1122,26928,Processing municipality 25/1122: NOROS� (13490)
2026-04-13 09:34:03,RUNNING,25,1122,26928,Processing municipality 25/1122: NOROS� (13490)
2026-04-13 09:35:03,RUNNING,26,1122,26928,Processing municipality 26/1122: PINILLOS (13549)
2026-04-13 09:36:04,RUNNING,26,1122,26928,Processing municipality 26/1122: PINILLOS (13549)
2026-04-13 09:37:04,RUNNING,27,1122,26928,Processing municipality 27/1122: REGIDOR (13580)
2026-04-13 09:38:05,RUNNING,28,1122,26928,Processing municipality 28/1122: R�O VIEJO (13600)
2026-04-13 09:39:05,RUNNING,28,1122,26928,Processing municipality 28/1122: R�O VIEJO (13600)
2026-04-13 09:40:06,RUNNING,29,1122,26928,Processing municipality 29/1122: SAN CRIST�BAL (13620)
2026-04-13 09:41:06,RUNNING,29,1122,26928,Processing municipality 29/1122: SAN CRIST�BAL (13620)
2026-04-13 09:42:07,RUNNING,30,1122,26928,Processing municipality 30/1122: SAN ESTANISLAO (13647)
2026-04-13 09:43:07,RUNNING,31,1122,26928,Processing municipality 31/1122: SAN FERNANDO (13650)
2026-04-13 09:44:08,RUNNING,32,1122,26928,Processing municipality 32/1122: SAN JACINTO (13654)
2026-04-13 09:45:08,RUNNING,32,1122,26928,Processing municipality 32/1122: SAN JACINTO (13654)
2026-04-13 09:46:09,RUNNING,33,1122,26928,Processing municipality 33/1122: SAN JACINTO DEL CAUCA (13655)
2026-04-13 09:47:10,RUNNING,33,1122,26928,Processing municipality 33/1122: SAN JACINTO DEL CAUCA (13655)
