COD_DANE,log_defor_pre_media,defor_pre_tendencia,log_baseline_forest,n_anios_pre
13248,5.017941869278694,0.3832717123410445,9.798462536147683,9
13268,4.6886837862159085,1.5824990363311242,10.053269560741438,9
13300,3.241028629509334,-0.2028935165512329,9.009845883210941,9
13430,4.907494535176742,-0.06051038802191222,10.405201793433656,9
13433,3.6893793291555874,0.22877689534116197,9.428960909869472,9
13440,3.0601145324832593,0.1710418712287871,9.526870071514297,9
13442,3.830379016387636,1.5285639939843265,10.206209088172088,9
13458,5.976376289686509,0.6654547022983666,12.243564990916026,9
13468,3.8388069430968867,-0.9246619003962202,10.135106684427353,9
13473,6.22245721336559,0.3525890379130683,11.360266937995645,9
13490,4.990840666768076,0.24203099242550863,10.595008160944547,9
13549,3.0145540277945786,0.5885599499775873,10.533694400840695,9
13580,4.3657702121543585,1.6618755437407904,9.350300555569818,9
13600,5.320127780811886,0.5087303903712588,11.17031881122749,9
13620,1.8625285401162623,1.3211656953797686,5.87000287857079,9
13647,4.074141854904581,1.1415753492766352,8.584122602098178,9
13650,3.702289141023854,-0.611886048545045,9.831136728001605,9
13654,4.694919478131699,1.2152327132154817,10.538723271080626,9
13655,4.958569771792903,0.7166664689356574,10.663678239137543,9
13657,4.870299853969361,0.8806783266558433,10.784434589898055,9
13667,5.136151315957647,0.4938535236371502,10.456846090364463,9
13670,7.331538252542224,-0.5512018537411381,12.11355881230185,9
13673,3.9033858120324827,0.7557536115851553,8.85438945158342,9
13683,3.716008121502189,0.9590534522725491,8.591886849165519,9
13688,6.775742732326884,0.028832049064093646,12.289810716928933,9
13744,6.957773260503824,-0.08256391558594967,11.491189031074764,9
13760,1.4398351280479205,0.08170452774854642,6.576887309080756,9
13780,2.5937610547000824,0.1052938245377244,8.336895984243261,9
13810,4.955827057601261,0.4191529753411256,11.16949316319171,9
13836,4.297421451385996,0.4253273885956217,8.890475270342685,9
13838,4.055950174234789,0.16527266222688208,8.461272364390886,9
13873,4.078553876315777,0.7642910165645453,9.005668906317334,9
13894,4.400603020246817,1.9513007642760445,9.906726302119964,9
15001,1.5748464676644813,0.2079402825798029,6.50413846173159,9
15022,1.967112356705916,1.015847202559931,8.165448928807713,9
15047,4.109725664260403,0.5263199961876812,10.774097212002184,9
15051,1.7029282555214393,-0.37118547665314683,8.927682987940843,9
15087,1.7715567619105355,0.1620302107456837,8.936988463832558,9
15090,1.1817271953786161,0.6782113971423434,8.356639388615108,9
15092,0.6151856390902335,0.0640788566845224,8.457152274211115,9
15097,1.0296194171811583,-1.0296194171811581,8.882824705264525,9
15104,0.4637340162321401,0.2281133875995509,6.248680968755327,9
15106,2.5400259490090797,0.5375648612612491,8.6044858621724,9
15109,3.119718253334982,-0.6007647221252737,9.01800605438035,9
15114,0.10436001532424277,-0.04045495469231368,6.875748482847051,9
15131,2.0268315914075385,0.30194025307883665,8.00154931180958,9
15135,2.128231705849268,-0.02195210101988243,10.01067914075691,9
15162,0.8878912573524571,0.2730405224588328,7.718409901670502,9
15172,1.2325602611778486,0.3691917013213295,8.989940553183036,9
15176,3.054001181677967,-0.10042737447293204,9.02618673795317,9
15180,2.2905125117597764,0.2814359559548283,10.183209527306154,9
15183,4.008968211484625,0.3759706475449458,10.571491781618365,9
15185,3.0809921175048145,0.27997063893341867,9.451615350988549,9
15187,0.4574248470388755,0.1282895412129219,4.549657476057832,9
15189,0.9242589015233319,0.834407250556126,7.595708996830728,9
15204,1.9358598132018119,1.1512826895313302,7.829228558228074,9
15212,2.995232148512309,-0.08051405450868465,9.517831689349306,9
15215,0.5423242908253617,0.8478408959693781,7.8304812601514415,9
15218,0.4700036292457355,0.07957067556658903,7.943207651355739,9
15223,4.7526414653463,0.09932021024052862,11.559197127040655,9
15224,0.6205764877251099,0.4552151007113898,5.9002808416853645,9
15226,1.9615022438151495,-1.0138157520080329,6.707766573134415,9
15232,1.2412685890696329,0.24008466400302775,8.001820579081508,9
15236,1.1474024528375417,2.220446049250313e-16,9.014082149443356,9
15238,3.0022112396517002,0.9433448517869358,9.235956460470417,9
15244,1.2919836816486494,-0.4476146343522568,8.826681764421357,9
15248,0.832909122935104,-0.5437233272730497,8.454051028250275,9
15272,1.8946168546677626,-1.403196171922494,7.073345985737652,9
15276,1.4883995840570443,0.35197642315717825,8.11676636980022,9
15293,1.4770487243883548,0.44085513953131805,8.279605828669617,9
15296,1.235471471385307,1.0819984880054543,8.190590094233446,9
15299,1.891604804197771,0.5120041742854349,9.381702931050206,9
15317,0.8197798314933114,0.20169623139451065,8.19362967756551,9
15322,1.0647107369924282,1.8492419046414172,7.002074058420574,9
15325,1.9629077254238845,2.020455672311621,8.891478557603001,9
15332,2.46725171454928,0.022450431562067052,10.269211678841412,9
15362,0.8064758658669485,0.4884553688476907,6.383101147279612,9
15367,1.5496879080283263,-0.31287232128033926,6.522563275713528,9
15368,1.3190856114264404,0.27187013662994697,8.080800725020762,9
15377,4.370459998302416,0.6839686966031056,10.731225938920137,9
15380,0.3293037471426004,0.1927655159550379,7.592310655473379,9
15401,1.3711807233098425,-0.11625980611586217,7.8277949747013205,9
