project_id,name_offsetsdb,proponent_offsetsdb,project_url,matched_cod_dane,matched_municipio,n_matches
VCS2532,Cumare carbon project,Reforestadora Cumare S.A.S.,https://registry.verra.org/app/projectDetail/VCS/2532,,,0
VCS2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Forest First Colombia S.A.S.,https://registry.verra.org/app/projectDetail/VCS/2512,,,0
VCS2459,NAYA REDD+,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2459,,,0
VCS2392,REDD + in the Forests of the Otún River Basin,Empresa de Acueducto y Alcantarillado de Pereira S.A.S E.S. P,https://registry.verra.org/app/projectDetail/VCS/2392,,,0
VCS2356,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,WeAct Pty Ltd.,https://registry.verra.org/app/projectDetail/VCS/2356,,,0
VCS2330,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,WeAct Pty Ltd.,https://registry.verra.org/app/projectDetail/VCS/2330,,,0
VCS2317,REDD+ Project Magnolios de Yarumal,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2317,,,0
VCS2298,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2298,,,0
VCS2297,REDD+ Project Pueblos indígenas resguardando la selva,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2297,,,0
VCS2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,Conservation International Foundation,https://registry.verra.org/app/projectDetail/VCS/2290,,,0
VCS1235,Hydroelectric Project Cantayus,Generadora Cantayus S.A.S. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1235,,,0
VCS479,Curva de Rodas and La Pradera landfill gas management project,Green Gas Colombia,https://registry.verra.org/app/projectDetail/VCS/479,,,0
VCS491,"Bionersis landfill  project in Pasto, Colombia",Bionersis S.A.,https://registry.verra.org/app/projectDetail/VCS/491,,,0
VCS1405,AXIA Energia Cogeneration Project in Unibol,AXIA Energia,https://registry.verra.org/app/projectDetail/VCS/1405,,,0
VCS1169,EPM Grouped Natural Gas Project,Empresas Publicas de Medellin S.A,https://registry.verra.org/app/projectDetail/VCS/1169,,,0
VCS1068,Hydroelectric Project El Edén,PROELECTRICA S.A.S E.S.P,https://registry.verra.org/app/projectDetail/VCS/1068,,,0
VCS2262,REDD+ Yaguara Llanos del Yari,CUESTA Y ASOCIADOS SAS,https://registry.verra.org/app/projectDetail/VCS/2262,,,0
VCS2251,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2251,,,0
VCS2084,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",Karbon-X,https://registry.verra.org/app/projectDetail/VCS/2084,,,0
VCS2071,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2071,,,0
VCS2060,Suba and Usaquen Hydroelectric Umbrella Project,Empresa de Acueducto y Alcantarillado de Bogota E.S.P,https://registry.verra.org/app/projectDetail/VCS/2060,,,0
VCS1936,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1936,,,0
VCS1909,Santa Ana Hydroelectric Plant - CER Conversion,Credits transferred from approved GHG program,https://registry.verra.org/app/projectDetail/VCS/1909,,,0
VCS1910,"Bionersis landfill project in Pasto, Colombia",Credits transferred from approved GHG program,https://registry.verra.org/app/projectDetail/VCS/1910,,,0
VCS386,La Cascada 2.3 MW Hydroelectric Project,Prestadora de Servicios Públicos La Cascada SA ESP,https://registry.verra.org/app/projectDetail/VCS/386,,,0
VCS1892,SOLAR GROUPED PROJECT BY EPSA-CELSIA,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1892,,,0
VCS1869,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",Société de gestion de projets ECOTIERRA Inc.,https://registry.verra.org/app/projectDetail/VCS/1869,,,0
VCS1868,GUACHICONO SMALL HYDROELECTRIC PROJECT,GELEC GUACHICONO S.A.S .E.S.P,https://registry.verra.org/app/projectDetail/VCS/1868,,,0
VCS1364,Hydroelectric Project PCH Luzma,ISAGEN S.A. E.S.P,https://registry.verra.org/app/projectDetail/VCS/1364,,,0
VCS1836,Guanaquitas 9.74 MW Hydroelectric Project,Guanaquitas S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1836,,,0
VCS1835,Caruquia 9.76 MW Hydroelectric Project,Caruquia S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1835,,,0
VCS1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',Ciprogress Greenlife,https://registry.verra.org/app/projectDetail/VCS/1821,,,0
VCS1806,Riscales REDD+ Project,Consejo Comunitario General Los Riscales.,https://registry.verra.org/app/projectDetail/VCS/1806,,,0
