Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
CDC-76,PRR-GEI ENTREPALMAS S.A.S,Certified,https://www.ecoregistry.io/projects/76,2017-05-25,2047-05-24,0,,
CDC-19,CARBONO OXIGENO PARA TODOS,Certified,https://www.ecoregistry.io/projects/19,2009-01-06,2028-01-06,6,15131;5001;5129;5148;54245;5607,CALDAS;EL CARMEN;EL CARMEN DE VIBORAL;MEDELLIN;RETIRO
CDC-19,CARBONO OXIGENO PARA TODOS,Certified,https://www.ecoregistry.io/projects/19,2009-01-06,2028-01-06,6,15131;5001;5129;5148;54245;5607,CALDAS;EL CARMEN;EL CARMEN DE VIBORAL;MEDELLIN;RETIRO
CDC-19,CARBONO OXIGENO PARA TODOS,Certified,https://www.ecoregistry.io/projects/19,2009-01-06,2028-01-06,6,15131;5001;5129;5148;54245;5607,CALDAS;EL CARMEN;EL CARMEN DE VIBORAL;MEDELLIN;RETIRO
CDC-148,Proyecto de Conservación UNU-MAI REDD+,Certified,https://www.ecoregistry.io/projects/148,2017-01-01,2046-12-31,1,94001,INIRIDA
CDC-148,Proyecto de Conservación UNU-MAI REDD+,Certified,https://www.ecoregistry.io/projects/148,2017-01-01,2046-12-31,1,94001,INIRIDA
CDC-188,Sogamoso Hydroelectric Project,Certified,https://www.ecoregistry.io/projects/188,2023-06-15,2033-06-14,1,15759,SOGAMOSO
CDC-23,Carbono Bagatela,Verification,https://www.ecoregistry.io/projects/23,2011-02-03,2030-02-02,5,13212;23419;5051;52215;63212,ARBOLETES;CORDOBA;LOS CORDOBAS
CDC-23,Carbono Bagatela,Verification,https://www.ecoregistry.io/projects/23,2011-02-03,2030-02-02,5,13212;23419;5051;52215;63212,ARBOLETES;CORDOBA;LOS CORDOBAS
CDC-23,Carbono Bagatela,Verification,https://www.ecoregistry.io/projects/23,2011-02-03,2030-02-02,5,13212;23419;5051;52215;63212,ARBOLETES;CORDOBA;LOS CORDOBAS
