_id,nombre_iniciativa,tipo,fase,n_matches,cod_dane,municipio
68b22cb62cb375c800b83d76,Central Hidroeléctrica Menor Amaime,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cb02cb375c800b83d72,Central Hidroeléctrica Menor Alto Tuluá,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22cb02cb375c800b83d6f,Generación de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreño - Vichada,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22caa2cb375c800b83d6b,Central Hidroeléctrica Cucuana,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22ca52cb375c800b83d67,Central Hidroeléctrica Cucuana,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22ca02cb375c800b83d63,Central Hidroeléctrica Menor Alto Tuluá,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22c9f2cb375c800b83d60,PIDs Planes Integrales de Descarbonnizacion,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c9a2cb375c800b83d5c,"FINCA LA PAZ II LA VICHADA, COLOMBIA",PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c952cb375c800b83d58,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,Proyecto REDD+,Factibilidad,0,,
68b22c902cb375c800b83d54,BAJO ATRATO REDD+ PROJECT,Proyecto REDD+,Factibilidad,0,,
68b22c8f2cb375c800b83d51,PCH Cantayús,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22c892cb375c800b83d4d,Proyecto Forestal de Mitigación Carbono SOMBRILLA ZONA CAFETERA FCG-CO2CERO,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c842cb375c800b83d49,Proyecto Forestal Núcleo Vichada - Meta CO2CERO,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c832cb375c800b83d46,PROYECTO FORESTAL COSERVECO SAS - 24,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
