project_id,name,proponent,project_url,registry
VCS4419,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4419,verra
VCS3970,Carbon In Flavor and Arome Forests (C-BOSAR),Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3970,verra
VCS3927,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3927,verra
VCS3849,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,AGROREFORESTADORA RANCHO VICTORIA S.A,https://registry.verra.org/app/projectDetail/VCS/3849,verra
VCS3690,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3690,verra
VCS3646,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,"RESGUARDO INDÍGENA ARARÁ, BACATÍ, CARURÚ Y LAGOS DE JAMAICURÚ",https://registry.verra.org/app/projectDetail/VCS/3646,verra
VCS3594,Finca la Paz II,Col La Paz SAS,https://registry.verra.org/app/projectDetail/VCS/3594,verra
VCS3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),https://registry.verra.org/app/projectDetail/VCS/3564,verra
VCS3475,ACABA REDD+ Project,"Consejo Comunitario General Del Río Baudo y sus Afluentes, ACABA",https://registry.verra.org/app/projectDetail/VCS/3475,verra
VCS3450,"Sustainable Agroforestry Cacao Meta, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3450,verra
VCS3210,Bajo Atrato REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3210,verra
VCS3215,ASATIQ Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),https://registry.verra.org/app/projectDetail/VCS/3215,verra
VCS3216,ASATRIZY Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),https://registry.verra.org/app/projectDetail/VCS/3216,verra
VCS3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,"Asociación de Autoridades Tradicionales y Cabildos De Los Pueblos Indígenas Murui, Muinane, Coreguaje y Nasa Del Municipio De Leguizamo y Puerto Asis, Alto Resguardo Predio Putumayo - ACILAPP",https://registry.verra.org/app/projectDetail/VCS/3217,verra
VCS3218,Origen Atrato-Baudó REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3218,verra
VCS3145,Proyecto REDD++ PANI,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/3145,verra
VCS2872,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2872,verra
VCS2750,Saving Colombia's Cloud Forest,"Saving Nature, Inc.",https://registry.verra.org/app/projectDetail/VCS/2750,verra
VCS2723,CONDOTO REDD+,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2723,verra
VCS2532,Cumare carbon project,Reforestadora Cumare S.A.S.,https://registry.verra.org/app/projectDetail/VCS/2532,verra
